标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,33,11,1,？？？,如果继续保持沉默的话，我就当你接受了。,34,,
#,34,11,1,？？？,拿铁，美式……不像是本地的命名风格。,35,,
#,35,11,1,？？？,如果你愿意的话，给我一杯这个热美式，我会付钱的。,36,,
#,36,0,3,传书,……好。,37,,
#,37,0,3,传书,<size=70%>旦夕，你注意着点。</size>,38,,
#,38,1,6,旦夕,……,39,,
$,39,5,,,,40,,
#,40,0,3,传书,热美式好了，请慢用。,41,,
#,41,11,1,？？？,……,42,,DrinkCoffee.wav|mb
#,42,11,1,？？？,这家店有营业执照，说明卯时组那群呆子认可你的正当性。,43,,
#,43,11,1,？？？,但我还是问一问，你是否在没有对他人诊断的情况下，出售这种被称为“咖啡”的药物？,44,,
#,44,0,6,传书,啊？,45,,
#,45,0,4,传书,不不，你好像误会了。,46,,
#,46,0,4,传书,咖啡的确有一些提神的功效，但并不能被称为药物……,47,,
#,47,0,1,传书,正如你之前所说的，只是一种饮料。,48,,
#,48,11,1,？？？,……也许是我判断失误了。,49,,
#,49,11,1,？？？,不过既然你还在运营这家店，说明这种饮料能带来至少维持支出的收入。,50,,
#,50,11,3,？？？,……居然还有人会喜欢这种味道。,51,,
#,51,0,8,传书,……,52,,
#,52,11,1,？？？,嗯？,53,,
#,53,11,1,？？？,你的店里还有一个妖怪。,54,,
#,54,1,6,旦夕,……啊，被发现了。,55,,
#,55,11,1,？？？,你很怕我？,56,,
#,56,11,2,？？？,不用担心，虽然我是猎人，但能分清<color=#FFCC00>兽型妖怪</color>和<color=#FFCC00>妖兽</color>。,57,,
#,57,1,6,旦夕,呃，会怕通缉犯很正常吧……,58,,
#,58,11,1,？？？,如果是因为这个，我已经说过了，我没犯过任何罪。,59,,
#,59,1,3,旦夕,那你为什么会被通缉？,60,,
#,60,11,1,？？？,……,61,,
#,61,11,3,？？？,停下这个话题吧，出于某些原因，我没什么可说的了。,62,,
#,62,11,1,？？？,这样吧……,63,,
#,63,11,1,？？？,如果主动公布自己的一些信息，或许能让你们觉得我更可信一些。,64,,
#,64,11,1,？？？,我叫“犸”，是一名猎人。,65,,
#,65,11,1,？？？,要是你觉得单字不好念，也可以叫我<color=#FFCC00>阿犸</color>。,66,,
#,66,11,1,阿犸,如果有大型妖兽对你们产生了威胁，可以委托我去处理。,67,,
#,67,11,1,阿犸,尤其是你，人类。,68,,
#,68,0,3,传书,……我？,69,,
#,69,11,1,阿犸,黑夜能为妖怪带来清晰的视野，却会让人类陷入盲目。,70,,
#,70,11,1,阿犸,你暂时没有遇到任何危险，是你走运。,71,,
#,71,0,3,传书,什么……妖兽？,72,,
#,72,11,3,阿犸,……唉。,73,,
#,73,11,1,阿犸,你们人类都是这样，把自己不了解的东西重复一遍，然后指望别人来给你解释？,74,,
#,74,0,3,传书,呃，虽然我也有一点自己的猜测……,75,,
#,75,0,3,传书,但是自己的推测大概率会和现实产生出入，所以……,76,,
#,76,0,7,传书,<size=70%>如果有人能直接给我介绍当然是最好了……</size>,77,,
#,77,11,1,阿犸,如果你是在跟茂林与荒野打交道，你就不得不靠所谓的“推测”。,78,,
#,78,11,1,阿犸,……哼，就这样吧。我只能再提醒你一句。,79,,
#,79,11,1,阿犸,要是你近期想返回人类的群聚地，最好绕开<color=#FFCC00>西南边</color>那一片河岸。,80,,
#,80,11,3,阿犸,这回还需要我向你解释吗？,81,,
#,81,0,3,传书,不，谢谢提醒……,82,,
#,82,11,1,阿犸,有其他人靠近了，我得走了。,83,,
#,83,11,1,阿犸,那个叫做“咖啡”的饮品，虽然刚入口很奇怪，但……,84,,
#,84,11,1,阿犸,就当是一次还不错的尝试吧。,85,,
#,85,0,1,传书,这算是夸奖吗？,86,,
#,86,11,1,阿犸,随你。,87,,
#,87,11,1,阿犸,……,88,,
#,88,11,1,阿犸,<size=70%>就算让这个人类知道，应该也不会影响到他的计划……</size>,89,,
#,89,11,1,阿犸,,90,Out,
#,90,0,1,传书,……她走了。,91,,
#,91,1,6,旦夕,好可怕……,92,,
#,92,0,7,传书,虽然说的话不太好听，但……我感觉她没有恶意。,93,,
#,93,0,7,传书,也许她说她没有犯罪是真的？,94,,
#,94,1,1,旦夕,可是她确确实实是被通缉了啊？她自己都承认了！,95,,
#,95,1,6,旦夕,卯时组难道会把无罪的人放上通缉令吗？,96,,
#,96,0,7,传书,这个……可能只能问问朔望他们了——,97,,
#,97,0,3,传书,等等。,98,,
#,98,0,3,传书,昨天朔望是不是提起过，他前两天被调去做了别的任务？,99,,
#,99,1,1,旦夕,好像是吧？,100,,
#,100,0,7,传书,我在周二才看见通缉令，上周日去城里采购的时候还没有来着。,101,,
#,101,0,7,传书,昨天金之鬼先生好像也提到了三天前，就是周一的那件事。,102,,
#,102,0,7,传书,当时朔望说了什么，立马就被金之鬼先生打断了……,103,,
#,103,0,7,传书,他说的是……,104,,
&,104,0,1,传书,“@做做样子-106@”？,,,
&,105,0,1,传书,呃，忘了……,121,,
#,106,1,3,旦夕,他说过吗？,107,,
#,107,0,6,传书,你根本没在听吧。,108,,
#,108,0,7,传书,嗯，总感觉这两件事一定有联系。,109,,
#,109,0,7,传书,虽然我觉得直接问朔望或金之鬼也没事，但……,110,,
#,110,0,7,传书,最好还是在他们正在聊这件事的时候再问吧？,111,,
#,111,0,7,传书,主动提起的话，难免会怀疑阿犸来过我的店……,112,,
#,112,0,3,传书,虽然一般来说遇见通缉犯应该是要告诉警察才对……,113,,
#,113,0,7,传书,但如果我的推断没错，这应该不只是简单的通缉罪犯。,114,,
#,114,0,7,传书,我觉得阿犸在一定程度上是可信的。,115,,
#,115,1,1,旦夕,……,116,,
#,116,1,3,旦夕,说了这么多，你到底为什么这么想知道阿犸的事？,117,,
#,117,0,3,传书,啊……,118,,
#,118,0,1,传书,为什么呢？,119,,
#,119,0,7,传书,……因为好奇？,120,,
#,120,1,1,旦夕,……,123,,
#,121,1,3,旦夕,你到底在说什么啊？,122,,
#,122,0,3,传书,算了，没什么……,123,,
#,123,1,3,旦夕,而且刚才那个阿犸不是说有人要来吗，没看见啊？,124,,
#,124,0,1,传书,这个……可能只是看到路人了吧。,125,,
#,125,5,3,Brain,(赫密士语)“收起你们尖锐的辩词！只因于露珠面前，它们一文不值……”,126,In,FastStep.wav|mb
#,126,0,1,传书,……唉。,127,,
#,127,5,4,Brain,传书小姐，传书小姐！,128,,Fat Phaser Slap Loop.wav|bi
#,128,5,4,Brain,这不可能……这简直是我一生的耻辱！,129,,
#,129,5,4,Brain,我竟然忘了那个词该怎么写……,130,,
#,130,5,4,Brain,简直就像植物学家分辨不出早饭中蔬菜的名字，动物学家不认识邻居宠物猫的品种……！,131,Shake,
#,131,5,4,Brain,更重要的是，我的手机还没电了，我甚至无法立刻查阅那个词的写法！,132,,
#,132,0,3,传书,……,133,,
#,133,0,1,传书,为什么不能是宠物狗？,134,,
#,134,5,2,Brain,我不喜欢狗！至少也得是狼……,135,,
#,135,5,4,Brain,呜呜……,136,,
#,136,5,4,Brain,,137,Out,
#,137,0,3,传书,……,138,,Dumb Funk.wav|bi
#,138,1,1,旦夕,这家伙又喝酒了。,139,,
#,139,0,1,传书,嗯……听说人类在早上喝酒会损伤神经。,140,,
#,140,0,1,传书,希望妖怪在晚上喝酒也有一样的功效。,141,,
#,141,1,1,旦夕,说不定这对他来说还是一件好事……,142,,
#,142,4,1,[ ],嗨，传书小姐，还有旦夕。,143,In,FootStep.wav|mb
#,143,0,5,传书,呃……[ ]小姐？,144,,
#,144,4,1,[ ],没错，正是我。我知道你们可能会感到有些奇怪，让我来解释一下吧！,145,,
#,145,4,1,[ ],实际上，博士在制作味觉模块时，顺便为我制作了语言逻辑优化模块！,146,,
#,146,4,1,[ ],现在，我能这样十分流畅地说话啦。,147,,
#,147,0,1,传书,喔……挺好的。,148,,
#,148,4,1,[ ],不过以该模块目前的能耗，这种状态不能维持太长时间。,149,,
#,149,1,1,旦夕,不管怎么说，总之你现在能喝咖啡了？,150,,
#,150,4,3,[ ],准确的说，是可以品尝咖啡，以及“解读”其中的含义。,151,,
#,151,4,3,[ ],当然，我的首要任务仍是为博士“献上”咖啡。,152,,
#,152,4,3,[ ],但这一次我可以“二度”购买一杯咖啡供自己实验性“感知”。,153,,
#,153,0,3,传书,……,154,,
#,154,0,3,传书,[ ]小姐，您……还好吗？,155,,
#,155,4,1,[ ],我很好，传书小姐！为什么突然问这个？,156,,
#,156,4,1,[ ],对了，我还没有点单吧，请给我一杯热拿铁和一杯冰美式！,157,,
#,157,0,3,传书,……喔，好。,158,,
$,158,10,,,,159,,
#,159,0,1,传书,热拿铁做好了，然后是冰美式……,160,,
$,160,4,,,,161,,
#,161,0,1,传书,都完成了，你们在聊什么？,162,,
#,162,1,1,旦夕,我在说那个博士为什么都不肯自己亲自来买。,163,,
#,163,4,3,[ ],对此我给出的“辩解”是，博士有重要的“伟业”需要完成，无法抽身。,164,,
#,164,0,3,传书,……,165,,
#,165,0,3,传书,[ ]小姐，您今天好像不太对劲……,166,,
#,166,4,1,[ ],嗯？您是说哪一方面？我没有感觉有任何的身体不适呀？,167,,
#,167,0,3,传书,您说出来的某些词语，有些奇怪。,168,,
#,168,4,1,[ ],可是我不记得我说过什么奇怪的话啊，您能举个例子吗？,169,,
#,169,0,3,传书,呃，能重复一下您今天的任务吗？,170,,
#,170,4,1,[ ],好啊，我是来买咖啡的。,171,,
#,171,0,1,传书,然后呢？,172,,
#,172,4,3,[ ],随后为博士“供奉”咖啡。,173,,
#,173,0,3,传书,呃……,174,,
#,174,4,1,[ ],啊，好像确实存在什么问题……这也许能解释我在启用语言优化模块时的某种异常感。,175,,
#,175,4,1,[ ],博士有很大可能在模块中添加了某种“抑制字段”，这样就能阻止“措辞失格”的发生。,176,,
#,176,4,1,[ ],但错误代码指向的却是……,177,,
#,177,4,1,[ ],不好意思啊，传书小姐，刚才这些就当我自言自语好啦。,178,,
#,178,4,1,[ ],反正就算有时候用错词语了，能理解意思就行了吧？,179,,
#,179,0,3,传书,呃，真的没问题吗……,180,,
#,180,0,3,传书,[ ]小姐，能不能帮我连线一下博士？,181,,
#,181,4,3,[ ],很抱歉，无法执行请求。博士正处于“永眠”，连接失败。,182,,
#,182,0,3,传书,什、什么？,183,,
#,183,4,1,[ ],博士这几天都没好好休息，现在在睡觉啦。,184,,
#,184,4,1,[ ],博士说过要在他醒来之前把咖啡送到，我就不多聊啦。,185,,
#,185,4,1,[ ],再见啦，传书小姐。,186,,
#,186,4,1,[ ],,187,Out,
#,187,0,3,传书,再见……,188,,
#,188,0,3,传书,这到底怎么回事……,189,,
#,189,0,1,传书,嗯？怎么有一张纸条？,190,,
#,190,,,,柜台边缘的夹缝中夹了一张不显眼的，被折叠的纸条。,191,,
#,191,,,,将其展开后，上面是一段用印刷体写下的文字。,192,,
#,192,,,,“别多想，只是给伥仔演一场戏，明天我会再来找你。”,193,,
#,193,,,,“——[ ]”,194,,
#,194,1,1,旦夕,这是什么意思？[ ]不是那个博士的机器人吗？,195,,
#,195,0,1,传书,谁知道呢？不过……,196,,
*,196,,,,5128=130^197|5128=173^200,,,
#,197,0,1,传书,又是演戏。,198,,
#,198,0,1,传书,在这场戏里，我还能继续坐在台下当一名观众吗？,199,,
#,199,0,1,传书,而且，[ ]小姐的这个语气，总有一种熟悉的感觉……,201,,
#,200,0,1,传书,[ ]小姐的这个语气，总有一种熟悉的感觉……,201,,
#,201,0,1,传书,……,202,,
#,202,3,1,朔望,传书，晚好啊。,203,In,FootStep.wav|mb
#,203,0,1,传书,晚上好，朔望。,204,,
#,204,3,3,朔望,嗯？你怎么眼神直楞楞的，发生什么了？,205,,
#,205,0,4,传书,啊，没有没有，呃……想别的事去了。,206,,
#,206,3,5,朔望,听说你今天就已经把索骥叔给你的咖啡豆研制成特调了？,207,,
#,207,0,2,传书,勉强算是吧，多亏了你的笔记。,208,,
#,208,0,3,传书,不过因为我不知道用妖怪的制法做出的咖啡是什么味道，所以只是凭自己的感觉定的。,209,,
#,209,0,2,传书,你随便点一杯吧，我请你。,210,,
#,210,3,5,朔望,那真是多谢了……嗯？,211,,
#,211,3,2,朔望,不过啊……传书，在下建议你的定价可以再高一点……,212,,
#,212,0,7,传书,是吗？我还参考过这几种品类咖啡豆的常规定价的。,213,,
#,213,0,4,传书,而且我也不打算长期售卖，本来也对味道没什么信心……,214,,
#,214,0,2,传书,这两包还只是索骥先生送我的，也没有稳定的货源。,215,,
#,215,3,1,朔望,这……的确。如果是这样的话，倒也确实不会影响市场价格。,216,,
#,216,3,5,朔望,那在下要一杯凯撒拿铁。,217,,
#,217,0,2,传书,好的，请稍等。,218,,
$,218,13,,,,219,,
#,219,0,2,传书,好了，请慢用。,220,,
#,220,3,5,朔望,在下都快等不及了。,221,,
#,221,3,5,朔望,太棒啦，传书！这跟在下以前喝过的凯撒几乎是一样的风味。,222,,DrinkCoffee.wav|mb
#,222,0,5,传书,咦？有这么像吗？,223,,
#,223,3,5,朔望,真要说的话……还是有明显区别的，不过总体的方向已经对了。,224,,
#,224,3,1,朔望,嗯……口味上会稍微淡一些，奶香稍微有点太过了……,225,,
#,225,3,1,朔望,……不过说不定老大会喜欢？不，只是相对能接受一点吧……,226,,
#,226,10,1,金之鬼,在说什么呢？我会喜欢什么？,227,In,
#,227,3,4,朔望,老、老大？！,228,,
#,228,3,2,朔望,你能不能不要突然出现在我背后啊……,229,,
#,229,10,2,金之鬼,哈哈，谁让你胆子这么小，不多吓吓你万一以后出单人任务怎么办？,230,,
#,230,3,2,朔望,那都多久以后了，我现在还只是巡警诶。,231,,
#,231,3,1,朔望,对了，你要不要尝尝这个咖啡？可能会比之前的稍微合你口味一些……,232,,
#,232,3,4,朔望,啊，当然前提是你想的话。,233,,
#,233,10,1,金之鬼,喔喔，让我尝尝看？,234,,
#,234,3,4,朔望,……怎么样？,235,,DrinkCoffee.wav|mb
#,235,10,6,金之鬼,好苦。,236,,
#,236,3,2,朔望,……,237,,
#,237,3,2,朔望,那你还我，不喜欢喝就别喝了。,238,,
#,238,10,2,金之鬼,哎呀，刚刚一不小心喝完了~,239,,
#,239,3,3,朔望,啊？苦你还喝完干嘛？,240,,
#,240,0,10,传书,噗，哈哈，哈哈哈……,241,,
#,241,3,3,朔望,传书你又笑什么？,242,,
#,242,0,9,传书,没、没什么，哈哈哈……,243,,
#,243,0,9,传书,就觉得、你们两个挺有趣的，哈哈……,244,,
#,244,10,2,金之鬼,没错，多笑一笑对身体也好！,245,,
#,245,3,3,朔望,干嘛啊你们俩，莫名其妙的……,246,,
#,246,3,2,朔望,我今天虽然不用轮班，但还要去组里写报告呢。,247,,
#,247,3,1,朔望,啊对了老大，昨天你桌上那些资料是忘记还给档案室了吧？,248,,
#,248,10,1,金之鬼,喔，你一说好像是有这么回事……晚点没关系啦。,249,,
#,249,3,3,朔望,不过，你怎么开始看起<color=#FFCC00>沙场</color>的资料了？我记得你不是——,250,,
#,250,10,1,金之鬼,哎呀，最近那边催得紧嘛，清越还把工作丢给我，我也是头一次干这个。,251,,
#,251,10,3,金之鬼,<size=70%>虽然组里大家都躲着不想扯上关系，但好歹也算是发生那件事之后的一种处理方案……</size>,252,,
&,252,0,1,传书,你们是在说……那场“@平祟战争-254@”吗？,,,
&,253,0,1,传书,好严肃的话题。,326,,
#,254,3,3,朔望,咦？传书，你这又是从哪听说的？,255,,
#,255,0,4,传书,有人聊到了，还提到了沙场，所以印象比较深……,256,,
#,256,3,1,朔望,啊，沙场。前几天是说要跟传书介绍一下的。,257,,
#,257,3,4,朔望,老大，你……想说一说吗？,258,,
#,258,10,1,金之鬼,……,259,,
#,259,10,2,金之鬼,这种事说出来可不是很好听哦，说不定会让传书小姐对妖怪的印象变差？,260,,
#,260,10,1,金之鬼,我是无所谓啦。,261,,
#,261,0,3,传书,我想我不会因为一部分人的行为而对整个群体做出评判。,262,,
#,262,0,4,传书,而且我的确没有什么非要知道的理由，所以也请您随意。,263,,
#,263,10,2,金之鬼,喔喔，都到这个份上了，不说好像都不太合适了，哈哈！,264,,
#,264,10,1,金之鬼,我猜猜看，又是阿犸告诉你的战争的事情的吧？,265,,
#,265,10,1,金之鬼,她那家伙平时都不怎么说话，怎么一上你这就说个不停呢？,266,,
#,266,10,2,金之鬼,难道说传书小姐的咖啡里参了什么赫密士传说中的吐真剂？,267,,
#,267,0,3,传书,那是什么……,268,,
#,268,10,1,金之鬼,开玩笑啦，总之先让我想想……,269,,
#,269,10,1,金之鬼,嗯……一百五十多年前啊……那时候我还很年轻呢。,270,,
#,270,10,1,金之鬼,当时的治安组织不只有像现在的卯时组，寅时组这样的地支十二组，还有天干十部。,271,,
#,271,10,1,金之鬼,当时地支十二组主要负责与上面对接，同时还要管理很多社会机构。,272,,
#,272,10,2,金之鬼,虽然也有小部分治安方面的职责，不过跟现在比起来，简直就跟没事干一样啊。,273,,
#,273,10,1,金之鬼,天干十部才是主要负责治安的，但因为并不由家族构成，会招募很多民间的人员。,274,,
#,274,10,1,金之鬼,这种制度自千年以来都是如此，似乎也没有人怀疑其是否合理，是否稳定，因为时间已经验证了。,275,,
#,275,10,3,金之鬼,但同样的规则时间越长，往往越代表着维护规则者的松懈，怠惰与有机可乘。,276,,
#,276,10,1,金之鬼,这种时候啊，只需要一些适当的煽动，和一点点引燃冲突的火星……,277,,
#,277,0,3,传书,……,278,,
#,278,10,1,金之鬼,在战争爆发的二十多年前，全国各地都出现了程度不一的动乱。,279,,
#,279,10,2,金之鬼,而动乱的源头竟然是当地的天干十组！警察本身发起叛乱，这种事情很奇妙吧？,280,,
#,280,3,4,朔望,老大，你其实没必要用这种语气说……,281,,
#,281,10,1,金之鬼,首先是离中部最远的东南辛部，联同职权范围较小的南丙部和西丁部……,282,,
#,282,10,1,金之鬼,其实最开始的时候呢，都只是民间的小打小闹，中央和地支十二组也没有引起重视。,283,,
#,283,10,1,金之鬼,结果反应过来的时候，才发现全国上下的天干九部全都被反动组织渗透，只剩下极西的岛癸部没有什么动乱的迹象。,284,,
#,284,10,2,金之鬼,哎呀，当时的中央被敌方里应外合，打了一个措手不及。明明军备实力远强于对方，却因为傲慢与疏忽而损失惨重。,285,,
#,285,3,4,朔望,老大，你再这么说下去，到时候找上你的就不仅是组长了，“<color=#FFCC00>众生</color>”也——,286,,
#,286,10,2,金之鬼,没事没事，他们很清楚我的立场。不然你猜我当时作为中甲部的一员，是怎么逃过中央军队的围剿的？,287,,
#,287,3,4,朔望,……,288,,
#,288,3,1,朔望,老大，就是这一点。,289,,
#,289,3,1,朔望,就是这一点，你让人感觉有点……可怕。,290,,
#,290,3,1,朔望,为什么你能在经历过那些之后，还能用这种表情说出这些话来？,291,,
#,291,10,1,金之鬼,哎呀……,292,,
#,292,10,1,金之鬼,你这小子，我还要怎么说你才肯相信我真的根本就不在意这些？,293,,
#,293,10,1,金之鬼,周围的人被杀了，只是因为他们做了错的事情。,294,,
#,294,10,1,金之鬼,他们听信了一个虚假的未来，最终只迎来了一个没有他们的未来。,295,,
#,295,10,1,金之鬼,我从一开始就知道，为什么他们一定会失败，为什么他们的叛乱永远不能被称为“革命”或者“起义”。,296,,
#,296,10,3,金之鬼,这就是野心家与革命家的根本区别——他们违背了“<color=#FFCC00>众生</color>”。,297,,
#,297,10,3,金之鬼,这个国家，这个社会，如果不会因为他们的成功而更好，那便不会让他们成功。,298,,
#,298,10,1,金之鬼,我也不想这么严肃地说话呀，说到底，这件事根本就不值得让人严肃嘛。,299,,
#,299,10,2,金之鬼,一个昏昏欲睡的家伙被暗地里的小人捅了一刀，也不是多丢人的事情吧？,300,,
#,300,10,2,金之鬼,还因为这件事清醒过来了，这不挺好嘛！,301,,
#,301,0,3,传书,这样的概括……合适吗？,302,,
#,302,10,1,金之鬼,不合适也得合适，传书小姐。,303,,
#,303,10,1,金之鬼,已经是过去的事情了，生于现在的人们永远无法了解当时的详细情况。,304,,
#,304,10,1,金之鬼,所以才需要概括。,305,,
#,305,0,3,传书,……这种概括，同时也成为了一件“工具”，对吗？,306,,
#,306,10,2,金之鬼,毕竟我现在也是寅时组兼卯时组的成员，立场必须明确且坚定才行！,307,,
#,307,3,2,朔望,你们说的话怎么越来越让人听不懂了……,308,,
#,308,10,2,金之鬼,好了好了，别讨论那些有的没的了。,309,,
#,309,10,1,金之鬼,之后的事情呢，就很简单啦。,310,,
#,310,10,1,金之鬼,反叛军全灭，天干十部除了岛癸部全部取消，治安职责由地支十二组接任……,311,,
#,311,10,1,金之鬼,然后……成立“沙场”。,312,,
#,312,10,6,金之鬼,朔望啊，这段你来给传书小姐讲讲行不行？这两天看资料都要给我看恶心了……,313,,
#,313,3,2,朔望,我都说我只知道个大概了……,314,,
#,314,3,1,朔望,简单来说，沙场是一个用来填补天干十部取消后，地方缺失的防卫力量的军事组织。,315,,
#,315,3,1,朔望,运作机制甚至都同样是从民间征集，只不过筛选的流程和标准会更加精确复杂。,316,,
#,316,3,2,朔望,基本就是为了应急而启动的临时策略，过不了多少年就得推翻的。,317,,
#,317,3,4,朔望,不过在下一直认为，沙场既然是“<color=#FFCC00>众生</color>”建立的，应该有一定的合理性……问了老大好几次都没什么反应。,318,,
#,318,10,6,金之鬼,这个问题本来就很难说嘛，我又不是什么上层人物，谁知道啊？,319,,
#,319,0,4,传书,……,320,,
#,320,0,4,传书,很感谢你们跟我说这些，但……我还是想确认一下，这些事情是可以随便告诉别人的吗？,321,,
#,321,10,2,金之鬼,我还以为你一直在担心什么呢，这些事情都是人尽皆知的啦。,322,,
#,322,10,1,金之鬼,看你就算打断我们的对话也要问出来这个问题，肯定晚上都好奇地睡不着觉了吧？,323,,
#,323,10,2,金之鬼,这种感受我很能理解啦，别人说了什么自己又完全听不懂的感觉~,324,,
#,324,0,4,传书,谢谢您，金之鬼先生，但也没有那么夸张……,325,,
#,325,3,2,朔望,之前还都是在下给传书介绍来着……,328,,
#,326,10,2,金之鬼,算啦算啦，说这些影响气氛，还是继续笑一笑比较好啊。,327,,
#,327,3,2,朔望,我倒是无所谓……,328,,
#,328,3,1,朔望,啊，传书，说回咖啡的问题吧。,329,,
#,329,3,1,朔望,虽然另一个魑魅在下还没喝过，不过估计也没有什么问题。,330,,
#,330,3,5,朔望,能在这么短的时间内找出完全陌生的咖啡豆的制法，说不定你真的挺有天赋的？,331,,
#,331,3,5,朔望,那之前说的振兴妖怪咖啡圈，是不是——,332,,
#,332,0,4,传书,停！这根本就是两码事吧？,333,,
#,333,3,5,朔望,总之，你考虑一下嘛，要是真的能让妖怪用上人类的咖啡豆，那可是能名留青史的地位！,334,,
#,334,0,4,传书,……,335,,
#,335,10,1,金之鬼,喔，我突然想起来清越今天叫我回去做新人入职意向调查，小朔望啊，帮我印一下问卷啦~,336,,
#,336,3,2,朔望,嗯？这种工作你不都是拖到最后一天才——,337,,
#,337,3,4,朔望,别、别推我啊……,338,,
#,338,3,4,朔望,,339,Out,
#,339,10,1,金之鬼,走啦，传书！,340,,
#,340,10,1,金之鬼,,341,Out,
#,341,0,2,传书,……,342,,
#,342,1,1,旦夕,那个什么妖怪咖啡圈，朔望都说了两次了吧？,343,,
#,343,1,3,旦夕,那到底是什么东西？,344,,
#,344,0,1,传书,……,345,,
#,345,1,1,旦夕,喂，传书，你该不会真的想帮朔望吧？,346,,
#,346,0,1,传书,我当然想了，能帮为什么不帮呢？,347,,
#,347,0,1,传书,只可惜啊，我帮不了。,348,,
#,348,0,3,传书,而且，我还有其他的事情需要考虑……,349,,
#,349,,,,传书将那张纸条重新展开，上面的文字有些被水迹打湿了。,350,,
#,350,,,,“别多想，小姐，只不过是要演一场戏而已。”,351,,
#,351,0,3,传书,……是她？,352,,
#,352,1,3,旦夕,是谁？,353,,
#,353,0,3,传书,……明天应该就能验证我的猜想了，如果她真的会来的话。,354,,
$,354,,,,,,,
