标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,46,2,8,？？？,……,47,,
#,47,0,4,传书,先生？,48,,
#,48,2,4,？？？,啊，啊？,49,,
#,49,2,5,？？？,不好意思哈，在想工作上的事。,50,,
#,50,0,4,传书,您的工作很忙吧。,51,,
#,51,2,1,？？？,嗯……是啊。,52,,
#,52,2,7,？？？,不说这个，其实鄙人是被同事里一位后辈推荐来的。,53,,
#,53,2,7,？？？,他说这是一家人类开的咖啡店，咖啡也很不错。,54,,
#,54,0,4,传书,毕竟有一种说法是人们都更乐意去熟悉的店。,55,,
#,55,2,7,？？？,确实，确实。,56,,
#,56,1,2,旦夕,喂，传书，我们还挺出名的诶。,57,,
#,57,2,1,？？？,咦？店里还有其他人吗？,58,,
#,58,0,4,传书,啊，它……大概是吧。,59,,
#,59,1,6,旦夕,额，你好。,60,,
#,60,2,1,？？？,所以，这里还有一位妖怪店员。,61,,
#,61,2,7,？？？,能看见妖怪的人类对我们来说其实还挺稀奇的。虽然也不是完全没有，但是至少附近没听说过还有类似的情况。,62,,
#,62,2,7,？？？,应该有不少慕名而来的妖怪吧？,63,,
#,63,0,4,传书,哈哈……是啊，这在我们店里算是半个热门话题了。,64,,
#,64,1,2,旦夕,感觉就像是在围观什么小动物，是不是啊传书。,65,,
#,65,0,4,传书,反正能给我带来生意……也没什么不好的。,66,,
#,66,1,2,旦夕,如果在开工前能整上一杯咖啡，工作时的心情都会变好——某个之前的顾客这样说过。虽然我感觉没什么区别！,67,,
#,67,1,1,旦夕,……咦，你衣服口袋里那是什么，名片？厕纸？绅士丝巾？,68,,
#,68,0,6,传书,你知不知道自己很没礼貌？,69,,
#,69,2,1,？？？,噢，确实是，嗯……,70,,
#,70,2,7,？？？,实际上是鄙人的名片。感兴趣的话就给你一张吧。,71,,
#,71,0,2,传书,噢……索骥先生，让我替另一位的无礼向您道歉。,72,,SuojiIDCard.png|cb
#,72,2,7,索骥,嗯，倒也没事。,73,,SuojiIDCard.png|ca
#,73,0,2,传书,那么，您可以喊我传书，然后这位是旦夕。,74,,
#,74,1,1,旦夕,额，我是旦夕。,75,,
#,75,2,7,索骥,传书，旦夕……喔喔，你们好。,76,,
#,76,2,7,索骥,啊，说了这么多，还没有尝过咖啡呢。,77,,
#,77,0,2,传书,请，希望您能满意。,78,,
#,78,2,8,索骥,嗯……,79,,Drinking.wav|mb
#,79,2,5,索骥,哈哈，实话说鄙人并不是什么咖啡的行家……,80,,
#,80,2,5,索骥,所以也没法给出什么有参考性的评价。,81,,
#,81,2,7,索骥,不过，也的确能感受到这是品质很好的咖啡。,82,,
#,82,0,9,传书,谢谢，这样就够了。,83,,
#,83,0,2,传书,实际上，我对妖怪这边的咖啡也了解不多。,84,,
#,84,2,6,索骥,说起来，鄙人有一位同事似乎是专门研究咖啡种植一类的……,85,,
#,85,2,6,索骥,他倒是经常提起一种咖啡的名字……叫什么来着？,86,,
&,86,0,1,传书,我听说过有一种叫@CAVA-88@的咖啡豆，好像在妖怪中挺有名的。,,,
&,87,0,1,传书,啊，没关系的。,114,,
#,88,2,1,索骥,啊对，就是这个。,89,,
#,89,2,8,索骥,嗯……不过也就光想起一个名字而已。,90,,
#,90,2,1,索骥,鄙人那位同事是<color=#FFCC00>植物生长专员</color>，经常去海外出差。,91,,
#,91,2,1,索骥,我们虽然关系不错，但在这方面其实交流不是很多。,92,,
#,92,2,8,索骥,不过他人很好，有时还会给我们送来一些袋装的咖啡豆。,93,,
#,93,2,7,索骥,结果公司里根本没人会处理这些……想想还挺可惜的，毕竟包装看着就很贵。,94,,
#,94,0,6,传书,您刚才说，海外？,95,,
#,95,0,6,传书,海外也有妖怪吗？,96,,
#,96,2,7,索骥,哈哈，这还真是出乎意料的问题。,97,,
#,97,2,7,索骥,虽然我没有出过海，但的确是有的。只不过可能不是以“妖怪”来称呼。,98,,
#,98,2,6,索骥,还有比如<color=#FFCC00>赫密士</color>的<color=#FFCC00>天使</color>和<color=#FFCC00>恶魔</color>，<color=#FFCC00>诺希斯</color>的<color=#FFCC00>移涌</color>和<color=#FFCC00>造匠</color>……,99,,
#,99,0,4,传书,什、什么……？,100,,
#,100,2,8,索骥,啊，抱歉，这些也只是鄙人从网络上学到的比较正式和官方的称呼，其实民间还有很多随意的版本……,101,,
#,101,2,8,索骥,哎呀，年纪大了之后发现自己只有这种莫名其妙的兴趣，一不注意就说了这些有的没的……,102,,
#,102,0,2,传书,没事的，索骥先生，实话说我作为人类也的确对这些完全不清楚。,103,,
#,103,0,7,传书,不过原来这在妖怪当中也不是人人都知道的常识么。,104,,
#,104,0,4,传书,如果有机会的话我倒是挺想了解一下的。,105,,
#,105,2,8,索骥,确实，因为妖怪们大部分时间都是各忙各的，生存方式各不相同，所以这类知识并不是生存必备。,106,,
#,106,2,7,索骥,你也感兴趣的话真是太好了，鄙人其实很想跟其他人聊一聊这些，只不过……,107,,
#,107,2,8,索骥,大家对此好像都没什么兴趣。,108,,
#,108,2,8,索骥,要在工作之外维持一个爱好真难啊……,109,,
#,109,0,2,传书,那要不然等您下次不忙的时候，就可以来这边和我讨论这些？,110,,
#,110,0,4,传书,不过说是讨论，可能更像您给我上课吧……毕竟我什么都不懂。,111,,
#,111,2,7,索骥,哈哈，既然传书小姐不嫌弃，鄙人自然是乐意之至。,112,,
#,112,2,7,索骥,可别说鄙人好为人师呀，这对鄙人来说也是一种学习。,113,,
#,113,0,2,传书,当然，我很期待。,122,,
#,114,0,2,传书,我也认识一位看上去很懂咖啡的妖怪，回头我问问他吧。,115,,
#,115,2,1,索骥,嗯，细细品味的话……,116,,
#,116,2,6,索骥,咖啡与茶虽然相去甚远，但也不是没有共同的韵味。,117,,
#,117,2,6,索骥,看来之前对咖啡是有一些误会……,118,,
#,118,1,6,旦夕,<size=70%>老古董发言……</size>,119,,
#,119,0,2,传书,您看上去心情好了很多。,120,,
#,120,2,7,索骥,也许是吧，也有可能只是将注意力转移到了别处。,121,,
#,121,2,1,索骥,……不管怎么说，确实感觉平静下来了。,122,,
#,122,1,6,旦夕,<size=70%>喂，传书，朔望他又来了。</size>,123,,
#,123,3,3,朔望,索骥叔？稀客啊。,124,In,FootStep.wav|mb
#,124,2,4,索骥,咦，朔望小哥？,125,,
#,125,3,1,朔望,啊，传书，一杯冰拿铁，谢谢。,126,,
#,126,0,2,传书,冰拿铁，马上就好。,127,,
$,127,7,,,,128,,
#,128,0,2,传书,朔望，你的拿铁。,129,,
#,129,0,2,传书,所以，你们二位认识啊。,130,,
#,130,3,1,朔望,啊……毕竟在下是巡警嘛。,131,,
#,131,3,4,朔望,周围的居民怎么说也混了个眼熟吧。,132,,
#,132,2,7,索骥,可不止眼熟的程度，朔望小哥帮了我们很多忙的。,133,,
#,133,3,4,朔望,您就别说在下的笑话了……,134,,
#,134,3,1,朔望,不过索骥叔您不是不常喝咖啡的，怎么今天来了传书的店？,135,,
#,135,2,1,索骥,喔，最近工作上有些琐事，不知不觉就走到这里了……,136,,
#,136,2,7,索骥,不过鄙人刚刚发现，咖啡的确不比茶差。,137,,
#,137,3,4,朔望,嗯……？这真是令人高兴。,138,,
#,138,3,1,朔望,听说您工作一直都挺忙，平时白天有好好休息吗？,139,,
#,139,2,7,索骥,这个啊，忙也忙习惯了，偶尔加会班也不会影响休息。,140,,
#,140,3,1,朔望,……,141,,
#,141,3,1,朔望,好吧，您自己有分寸。,142,,
#,142,2,7,索骥,差不多啦，鄙人该去公司了。,143,,
#,143,2,7,索骥,咖啡确实也是个不错的选择，以后也会常来的。,144,,
#,144,0,4,传书,谢谢惠顾，请慢走。,145,,
#,145,2,1,索骥,,146,Out,
#,146,1,1,旦夕,喂，朔望，不是昨天才来过吗？今天怎么又来了？,147,,
#,147,3,2,朔望,你管的是比我这个警察还宽啊，旦夕大人。,148,,
#,148,1,1,旦夕,什么态度啊，问一下都不行？,149,,
#,149,0,3,传书,停停，怎么你们每次见面都要吵起来啊。,150,,
#,150,0,3,传书,我印象中朔望也没惹到你吧，旦夕？,151,,
#,151,1,1,旦夕,哼，我不喜欢警察。,152,,
#,152,3,2,朔望,为啥？,153,,
#,153,1,2,旦夕,不喜欢就是不喜欢~,154,,
#,154,3,2,朔望,……,155,,
#,155,0,8,传书,旦夕，我觉得你确实需要找一个工作了。,156,,
#,156,0,8,传书,至少能学会怎么好好说话，还能帮我分担经济压力。,157,,
#,157,1,3,旦夕,难道我现在不是在这家咖啡店上班吗？,158,,
#,158,0,8,传书,如果你把什么忙都不帮还总是说一些可能会赶走顾客的话当做上班的话。,159,,
#,159,1,4,旦夕,喂！你居然不把那个当作帮你的忙——,160,,
#,160,0,3,传书,行了行了，开玩笑呢，就是叫你说话注意点。,161,,
#,161,0,1,传书,不过，你的确每天都很闲啊，找点事做也没啥不好的吧？,162,,
#,162,1,4,旦夕,我——不——要——,163,,
#,163,0,3,传书,等等，别乱甩你的尾巴！,164,,
#,164,3,2,朔望,真亏你们这么早就开店还这么有活力啊。,165,,
#,165,0,3,传书,我是人类，而且现在是晚上七点半。,166,,
#,166,3,4,朔望,啊，过了这么久，都忘了这回事了。,167,,
#,167,0,1,传书,不过，我记得你平常不是八点才开始执勤吗？,168,,
#,168,0,1,传书,今天提前了半个小时？,169,,
#,169,3,1,朔望,那倒没有……是在下自己来早了。,170,,
#,170,3,4,朔望,白天没怎么睡好，下午也睡不着了。,171,,
#,171,0,3,传书,确实看你精神不太好的样子……,172,,
#,172,0,1,传书,不会影响工作吗？,173,,
#,173,3,1,朔望,还好啦，巡逻什么的也不需要全神贯注。,174,,
#,174,3,5,朔望,而且还有咖啡能应付一下。,175,,
#,175,0,2,传书,这么看，你的工作还挺轻松嘛。,176,,
#,176,3,1,朔望,是啊……警察工作轻松是也算是好事吧。,177,,
#,177,3,1,朔望,不过局里也有忙的家伙，每天都很忙。,178,,
#,178,3,1,朔望,……,179,,
#,179,0,2,传书,怎么，难道你对现在的职位不太满意？,180,,
#,180,3,1,朔望,啊？不，怎么会。,181,,
#,181,3,1,朔望,巡警也是磨炼的一环，而且在我这个年纪能当上正式警察已经很不容易了。,182,,
#,182,1,6,旦夕,那怎么每次看你都愁眉苦脸的，我还以为你根本不想当警察呢。,183,,
#,183,3,2,朔望,如果是这样，在下一开始就会放弃走警察这条路了。,184,,
#,184,0,6,传书,诶？我记得你们<color=#FFCC00>卯时组</color>不是家族性的治安组织吗？,185,,
#,185,0,6,传书,就像那种，每个新人都必须从事警察工作之类的……？,186,,
#,186,3,1,朔望,是差不多，但在下从来没说过“必须”吧。,187,,
#,187,3,1,朔望,其实跟其他体制内工作单位是一样的。,188,,
#,188,3,1,朔望,上面的人会优先分配工作，如果有人对安排不满，也可以提交变动申请。,189,,
#,189,0,5,传书,这不是相当于自选工作了吗，有这么好？,190,,
#,190,3,4,朔望,……不是这么简单的吧，上面应该也会有所评估。,191,,
#,191,3,1,朔望,一般来说越低阶的职位越容易变动，所以要申请都是在一开始就赶紧申请的。,192,,
#,192,3,1,朔望,如果到了什么重要岗位，就不是想走就走的了。,193,,
#,193,3,4,朔望,……说是这么说，但近几年组里愿意留下的新人越来越少了。,194,,
#,194,3,4,朔望,虽然在下看本来也不需要那么多人手吧……,195,,
#,195,0,7,传书,也就是说，每个人基本还是能找到自己满意的工作。,196,,
#,196,3,1,朔望,这是理想情况，现实里……只能说满足大部分人吧。,197,,
#,197,3,1,朔望,这也主要是因为妖怪人数不多，还算比较好协调。,198,,
#,198,0,7,传书,嗯……,199,,
#,199,0,1,传书,索骥先生工作的地方也是这样吗？,200,,
#,200,3,1,朔望,是，索骥叔在北边的一座<color=#FFCC00>虫厂</color>工作——怎么突然问这个？,201,,
#,201,0,4,传书,啊，没有，只是感觉刚才聊天的时候他有些有意无意地回避工作相关的话题……,202,,
#,202,0,3,传书,而且貌似还有些精神恍惚的样子，虽然我也管不着就是了……,203,,
#,203,3,4,朔望,嗯……？,204,,
#,204,3,1,朔望,怎么回事？传书，能详细说一说吗？,205,,
#,205,0,4,传书,啊……好，好的。,206,,
#,206,1,6,旦夕,怎么突然认真起来了？,207,,
#,207,0,1,传书,索骥先生刚来的时候在打电话，表情也不太好看。,208,,
#,208,0,3,传书,挂电话之后还以为自己已经点过了咖啡，但其实并没有。,209,,
#,209,0,3,传书,之后也有一次突然愣住，好像是在想什么工作上的事情。,210,,
#,210,0,1,传书,我当时觉得是不是索骥先生工作上遇到了什么困扰，不过……,211,,
#,211,0,3,传书,毕竟第一次见，我也没什么立场去问这个。,212,,
#,212,0,3,传书,根据你刚才说的来看，应该也不是对工作不满之类的了。,213,,
#,213,3,4,朔望,是啊，其实以我对索骥叔的了解，他算是数一数二的敬业了。,214,,
#,214,3,4,朔望,实际上我担心的是，他为什么会来这家咖啡店。,215,,
#,215,3,1,朔望,索骥叔从家里出来到这家咖啡店，跟去他的公司是反方向。,216,,
#,216,0,5,传书,什么？啊，难怪我从来没见过……,217,,
#,217,3,6,朔望,虽然时间上来说并不紧张，但索骥叔不是有这种闲情逸致的人才对。,218,,
#,218,3,6,朔望,而且他本人几乎不喝咖啡，都是喝茶的。,219,,
#,219,3,2,朔望,<size=70%>之前还因为咖啡和茶谁的提神效果好跟他争论过来着……</size>,220,,
#,220,0,3,传书,不管是哪种喝久了提神效果都会减弱吧。,221,,
#,221,0,1,传书,噢，索骥先生说是他的一位后辈推荐他来的。,222,,
#,222,3,3,朔望,这还真不像他……,223,,
#,223,1,6,旦夕,他想干嘛就干嘛，这是别人的私事吧。,224,,
#,224,3,1,朔望,在下自然是不会随意介入了，不过以防万一……,225,,
#,225,3,5,朔望,当然啦，需不需要帮助取决于他自己的判断。,226,,
#,226,3,1,朔望,为了能更好的应对，提前了解一下情况也是有必要的。,227,,
#,227,0,4,传书,这件事对妖怪来说原来很严重吗。,228,,
#,228,3,4,朔望,那倒也不是，不过在下的确有些担心。,229,,
#,229,3,2,朔望,之前也有过……索骥叔因为他爱操心的性子惹了些麻烦。,230,,
#,230,3,1,朔望,虽然都知道他是出于好意，但……,231,,
#,231,3,4,朔望,不说了，这样议论别人也不太好。,232,,
#,232,0,1,传书,嗯……如果索骥先生下次再来的话，我试着多问问他？,233,,
#,233,3,5,朔望,哈哈，倒也不用搞得像在调查一样。,234,,
#,234,3,5,朔望,我们毕竟是局外人，就姑且顺其自然吧。,235,,
#,235,3,3,朔望,……不过，你居然会关心一个刚见面的顾客？,236,,
#,236,3,2,朔望,第一次来的时候你那个冷漠的表情，在下还以为这里是什么会员制阶级化餐厅……,237,,
#,237,0,4,传书,呃……那次是因为你来的时机不太好……,238,,
#,238,1,2,旦夕,哈哈哈！你居然还敢来第二次啊，朔望！,239,,
#,239,0,8,传书,你闭嘴。,240,,
#,240,0,3,传书,而且这么久了，你也该对我有所改观了吧……,241,,
#,241,3,2,朔望,第一印象是很难改变的。,242,,
#,242,0,3,传书,算了……,243,,
#,243,0,1,传书,与其说是关心，你也可以理解为是一种拉拢顾客的手段吧。,244,,
#,244,0,2,传书,而且不也是帮你吗，还可以卖你一个人情。,245,,
#,245,3,4,朔望,呃，果然是会员制阶级化……,246,,
#,246,0,4,传书,不是不是，开玩笑的啦。,247,,
#,247,0,7,传书,真要说的话，像索骥先生这样能不含戒心地与素不相识的人交谈，在我看来是很难能可贵的。,248,,
#,248,0,2,传书,不过过了这么久，我发现你们妖怪好像都是这样。,249,,
#,249,0,1,传书,所以，可能下意识就想帮助这样的人吧。,250,,
#,250,0,1,传书,自从我离开人类社会来了这里，我才发现……社交居然是这么轻松的事情。,251,,
#,251,3,3,朔望,你这是在说，妖怪都很单纯？,252,,
#,252,0,3,传书,我都说得这么委婉了，不过你这么理解倒是也没错……,253,,
#,253,3,4,朔望,嗯……虽然在下并不这么觉得，但毕竟在下对用于对比的人类社会还不够了解……,254,,
#,254,3,6,朔望,而且在下好像一直有某件事想说来着……还跟这个有关……,255,,
#,255,1,1,旦夕,等等，我想起来了，之前问你一直没有回答我。,256,,
#,256,1,1,旦夕,街上妖怪咖啡店那么多，怎么非来我这一家？,257,,
#,257,0,8,传书,我早就告诉过你，影响我做生意的话不要说，还有，这是我的咖啡店。,258,,
#,258,1,6,旦夕,<size=70%>切，小气……</size>,259,,
#,259,3,4,朔望,啊，对对，就是这个！,260,,
#,260,3,4,朔望,在下一直打算告诉传书的，前几次都给忘了。,261,,
#,261,0,6,传书,原来不是因为喜欢跟旦夕拌嘴吗？,262,,
#,262,3,3,朔望,怎么可能……,263,,
#,263,3,1,朔望,讲真的，你们有没有听说过一种叫<color=#FFCC00>KIBI</color>的咖啡豆？,264,,
#,264,0,6,传书,额……没有？,265,,
#,265,3,1,朔望,好吧，也正常。这种咖啡豆品质一般，但产量很高，普通的咖啡店都会主要采购这种咖啡豆来出售平价咖啡。,266,,
#,266,3,4,朔望,……在下以前也基本都喝的是KIBI豆咖啡。,267,,
#,267,0,1,传书,以前？,268,,
#,268,3,6,朔望,实际上从去年下半年开始，KIBI的产量不知为何突然大幅下降。因此各地采购都出现了很大的困难。,269,,
#,269,3,1,朔望,大部分咖啡店都选择使用另一种叫<color=#FFCC00>CAVA</color>的咖啡豆。,270,,
#,270,3,1,朔望,这种咖啡豆品质更好，也非常有名。只不过……,271,,
#,271,0,7,传书,很贵？,272,,
#,272,3,4,朔望,啊，对。像在下这种经济条件偶尔喝一次还可以，但日常是肯定消费不起的……,273,,
#,273,0,4,传书,所以……我这个用人类咖啡豆的店恰好不受影响？,274,,
#,274,3,4,朔望,没错，如果人类那边没有发生类似的事的话。,275,,
#,275,0,7,传书,这倒是没有……,276,,
#,276,0,3,传书,啊，难怪前段时间突然客人比以前多了不少……我还以为是终于在妖怪间有了一点人气呢。,277,,
#,277,3,1,朔望,这点倒是不用怀疑，毕竟人类的咖啡豆品质不错，传书的手艺也很好。,278,,
#,278,3,5,朔望,根据在下的观察，回头客还是很多的嘛。,279,,
#,279,1,6,旦夕,警察的职业习惯真恐怖。,280,,
#,280,3,1,朔望,其实也是之前才想到传书貌似没法使用我们这边的信息媒体，所以觉得你们可能不知道这个消息。,281,,
#,281,0,7,传书,嗯……,282,,
#,282,0,7,传书,不过，为什么妖怪不采用人类的咖啡豆呢？,283,,
#,283,0,1,传书,就种植难度上来说应该完全没有问题才对。,284,,
#,284,3,4,朔望,啊，其实重点就在这里。,285,,
#,285,3,6,朔望,说出来有点丢人，其实以往并不是没有妖怪尝试过人类的咖啡豆。,286,,
#,286,3,4,朔望,但当时做出来的成品似乎很不堪。,287,,
#,287,3,4,朔望,所以妖怪咖啡圈里一度认为人类的咖啡豆非常劣质，也就没有人继续尝试。,288,,
#,288,3,4,朔望,不过现在看来，只是因为当时妖怪和人类处理咖啡豆和泡咖啡的工序几乎完全不一样。,289,,
#,289,3,5,朔望,而且你的咖啡也证明了这一点，至少人类的咖啡豆并不比妖怪的差。,290,,
#,290,3,2,朔望,说到底，那些尝试的妖怪就是怀着傲慢的态度去找乐子而已，也没有真正想要学习人类咖啡技术的意思。,291,,
#,291,3,6,朔望,不过却也导致了现在妖怪对人类咖啡豆了解甚少的局面……,292,,
#,292,0,3,传书,原来还有这种事啊……不过这么看来，妖怪在某些方面的确和人类也差不多……,293,,
#,293,3,4,朔望,人类我是不知道，但就在下的感觉，妖怪之间的差异就已经够大了。,294,,
#,294,0,1,传书,啊，外形上来说的确……,295,,
#,295,3,1,朔望,也不只是外形，还有很多方面。比如在下和老大……,296,,
#,296,3,4,朔望,呃，不对，这个例子好像不太恰当……？,297,,
#,297,1,1,旦夕,老大？你老大是谁？,298,,
#,298,3,1,朔望,……一个烦人的家伙。,299,,
#,299,3,4,朔望,……说到他倒是让在下想起来执勤时间快到了。,300,,
#,300,3,1,朔望,传书，再来一杯热拿铁吧，在下巡逻路上喝。,301,,
#,301,0,1,传书,好的，马上。,302,,
$,302,10,,,,303,,
#,303,0,2,传书,你的拿铁，总之，还是谢谢你告诉我这些。,304,,
#,304,3,5,朔望,没什么，再见。,305,,
#,305,3,1,朔望,,306,Out,
#,306,0,1,传书,呼……好了，稍微休息一会……,307,,
#,307,3,2,朔望,等等等等！,308,In,FastStep.wav|mb-Funk Rock Loop 2.wav|bi
#,308,0,5,传书,呃，呃？,309,,
#,309,3,1,朔望,还、还没说完呢……,310,,
#,310,3,1,朔望,在下说那些可不是为了讨论妖怪和人类的什么差别啊！,311,,
#,311,3,1,朔望,<size=150%>传书！打破妖怪对人类咖啡豆误解的任务就交给你了！</size>,312,,
#,312,3,1,朔望,只有你才能做到这件事，为了振兴妖怪咖啡圈，<size=150%>义不容辞啊！</size>,313,,
#,313,0,4,传书,呃，不不，这是不是有点太突然了……,314,,
#,314,3,1,朔望,总之，就是这样了，在下得先走了！,315,,
#,315,3,1,朔望,,316,Out,
#,316,0,3,传书,……什么玩意？,317,,
#,317,1,1,旦夕,管他干嘛，什么妖怪咖啡圈，关我们什么事。,318,,
#,318,0,3,传书,呃……,319,,
$,319,,,,,,,
