<<<<<<< HEAD
﻿标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果,Column1
#,61,2,1,索骥,当然了，不是亲生的，他们两个也不是亲兄弟。,62,,,
#,62,2,1,索骥,小榛他小时候父母就因为意外而死，于是被邻居家，也就是阿涟父母收养。,63,,,
#,63,2,1,索骥,后来还不到百年，阿涟的父母也被派去了……<color=#FFCC00>沙场</color>。,64,,,
#,64,2,8,索骥,然后他们两个小崽子就不得不再转到另一个邻居家里，就是鄙人家里。,65,,,
#,65,2,1,索骥,当时他们的年纪已经不太需要大人时时刻刻盯着了，周围人们对他们也很好。,66,,,
#,66,2,1,索骥,而鄙人由于工作很忙，除了保证他们衣食住行，也不太干涉他们的生活。,67,,,
#,67,2,1,索骥,那时候，小榛一直都很乖，热情又很有礼貌，大家都很喜欢他。,68,,,
#,68,2,1,索骥,阿涟虽然不太爱说话，但是个好孩子，作为哥哥也很让着小榛。,69,,,
#,69,0,8,传书,这样啊……,70,,,
#,70,0,7,传书,不过这些私事告诉我一个外人真的好吗？,71,,,
#,71,2,1,索骥,没事，他们的经历也算是人尽皆知了，他们本人也不会介意的。,72,,,
#,72,0,2,传书,好吧，您继续。,73,,,
#,73,2,1,索骥,……后来他们成年了，鄙人也想着可以给他们安排个工作了。,74,,,
#,74,2,1,索骥,他们在虫厂的工作就是鄙人推荐来，因为有鄙人照顾也不至于太辛苦。,75,,,
#,75,2,1,索骥,最开始提出这个工作的时候，他们也没说什么，就同意了。,76,,,
#,76,2,1,索骥,鄙人也就以为他们都会喜欢这个工作，没有多想。,77,,,
#,77,2,1,索骥,但是最近他们突然提出辞职申请，吓了鄙人一大跳。,78,,,
#,78,2,8,索骥,其实也不能算突然吧，现在回想的话，他们的确很早就想去搞什么音乐了。,80,,,
#,80,2,1,索骥,一开始同意工作的时候也犹犹豫豫的，只是鄙人一直没当回事。,81,,,
#,81,2,1,索骥,但是辞职……这怎么行？能有一份体制内的工作，那这一辈子也不用愁生计了。,82,,,
#,82,2,1,索骥,而且要是现在走了，以后就再没有这样的机会了。,83,,,
#,83,2,1,索骥,他们追求的自由职业者，鄙人也认识许多。处境更是一个比一个惨。,84,,,
#,84,2,8,索骥,今年旺季还不知为何突然提前了，本来工作就忙，要是他们一走……,85,,,
#,85,2,8,索骥,唉。,86,,,
#,86,2,1,索骥,其实鄙人也想多由着他们点，阿涟和小榛——特别是小榛，也受过很多苦。,87,,,
#,87,2,1,索骥,但这也不是小打小闹，而是关乎人生的大事。,88,,,
#,88,2,1,索骥,他们的父母将孩子托付给鄙人，总得给他们一个交代，对孩子的未来和前途负责吧？,89,,,
#,89,2,1,索骥,他们的辞职申请必须要过我的手，所以我就暂时拦了下来。,90,,,
#,90,2,1,索骥,也找他们谈过好几次，该劝的也劝尽了。,91,,,
#,91,2,8,索骥,而且这件事对他们情绪影响也很大，反而让鄙人的决定也有些动摇。,92,,,
#,92,2,8,索骥,本来……拦下下属的辞职申请也是不太合理的做法……,93,,,
#,93,2,1,索骥,所以，在听了这些以后，鄙人想问问看传书你的看法。,94,,,
#,94,0,1,传书,……,95,,,
#,95,0,2,传书,您可能不知道，其实我也是孤儿。,96,,,
#,96,0,2,传书,而我甚至不知道我的父母是否还活着，只知道以前一直生活在另一个城市的孤儿院里。,97,,,
#,97,0,2,传书,后来还算幸运，被一个有趣的家庭收养了。,98,,,
#,98,0,4,传书,不过那个时候，我都已经靠自己打工赚的钱上完了学。,99,,,
#,99,0,2,传书,后来嘛，我做了一个孤注一掷的决定，用所有的积蓄买了这辆房车。,100,,,
#,100,0,2,传书,本来打算去这里底下的城市开个路边小咖啡店，不过……,101,,,
#,101,0,1,传书,……不过路上发生了一些别的事。,102,,,
#,102,0,1,传书,我失去了一些……东西，但又得到了一些东西。,103,,,
#,103,0,2,传书,总之，最后还是站在了这里。,104,,,
#,104,0,2,传书,我觉得，结果虽然不算好，但也不差吧！,105,,,
#,105,1,1,旦夕,……,106,,,
#,106,0,2,传书,啊，还是先不要再说我的事了。,107,,,
#,107,0,2,传书,如果您要问我的意见，我想我只能说……很抱歉，我无法提供任何意见。,108,,,
#,108,0,1,传书,我也认真思考过，您所说的那些我都能理解。,109,,,
#,109,0,1,传书,但我现在对妖怪的社会缺乏基本的常识，我甚至没法帮您分析他们的未来会有何种可能。,110,,,
#,110,0,1,传书,您的决定是经过您深思熟虑后才做出的，我既然无法提出新的观点，就没有理由改变您的决定。,111,,,
#,111,0,1,传书,作为人类，我们也只是一直在选择我们自认为，对自己最好的那条路而已。,112,,,
#,112,2,6,索骥,……,113,,,
#,113,2,6,索骥,其实，鄙人并不是没有问过其他人。,114,,,
#,114,2,1,索骥,他们要么赞同，要么反对，赞同的理由与鄙人一样，反对的理由鄙人也已经考虑过。,115,,,
#,115,2,1,索骥,但是……你却给出了这样的答案。,116,,,
#,116,2,7,索骥,谢谢你，传书，看来鄙人还是需要自己做出决定。,117,,,
#,117,2,7,索骥,那么，鄙人先去公司了。,118,,,
#,118,0,2,传书,希望下次再见时，您已经不再为这件事困扰。,119,,,
#,119,2,7,索骥,嗯。,120,,,
#,120,2,1,索骥,,121,Out,,
#,121,1,1,旦夕,……,122,,,
#,122,1,1,旦夕,喂，传书，你以前都没跟我说过你的事。,123,,,
#,123,0,4,传书,说这些也得有个契机吧……,124,,,
#,124,0,1,传书,而且你也没跟我说过你的事啊？,125,,,
#,125,1,6,旦夕,啊？我不是都告诉过你我失忆了吗……,126,,,
#,126,0,1,传书,而且我以前怎么样，你很关心吗？,127,,,
#,127,0,1,传书,我看你也不像是会在意这些的。,128,,,
#,128,1,6,旦夕,我确实不在意啊，就是你刚才说的时候……,129,,,
#,129,1,6,旦夕,呃，我不知道。,130,,,
#,130,1,1,旦夕,算了，不说这个了。,131,,,
#,131,1,1,旦夕,刚才你直接跟索骥说不要干涉别人的选择不就行了。,132,,,
#,132,0,8,传书,我觉得……我就是这么说的？,133,,,
#,133,1,6,旦夕,你对他的理解能力还真有信心…… ,134,,,
#,134,5,6,Brain,看上去我错过了一场精彩的思想碰撞。,135,In,,
#,135,0,3,传书,……我希望你下次来的时候直接出现，而不是先站在旁边偷听，Brain。,136,,,
#,136,5,6,Brain,嘿，我只是在寻找合适的时机，并且搭上能融入氛围的对话。,137,,,
#,137,5,6,Brain,那么，传书小姐，能否为我制作一杯热美式？,138,,,
#,138,0,1,传书,好吧，已自动为您打包。,139,,,
$,139,6,,,,140,,,
#,140,0,1,传书,做好了，赶紧走。,141,,,
#,141,5,4,Brain,呃，居然还有商人会不欢迎顾客吗？,142,,,
#,142,0,1,传书,你应该知道这是为什么。,143,,,
#,143,5,1,Brain,可是，可是我已经解释过了，那天是因为我喝多了——,144,,,
#,144,5,1,Brain,我、我真的都不记得我做了什么……,145,,,
#,145,1,2,旦夕,你又不记得了？要不要我再复述一遍那段对话？,146,,,
#,146,0,9,传书,不行，闭嘴。,147,,,
#,147,5,2,Brain,我记得，我是说，我记得你们之后描述的……,148,,,
#,148,5,6,Brain,嘿，不过，我们已经认识这么久了，你应该知道我不是那样的人。,149,,,
#,149,0,1,传书,第一印象是很难改变的。,150,,,
#,150,5,2,Brain,天啊……,151,,,
#,151,0,1,传书,所以，你到底有什么事？,152,,,
#,152,5,6,Brain,好吧，的确……,153,,,
#,153,5,1,Brain,听说最近那个“瓶中豆”到附近来了，所以我想他们可能会找来这里。,154,,,
#,154,0,1,传书,为什么这么认为？,155,,,
#,155,5,6,Brain,毕竟他们曾经也是人类，或许他们也会想见见你——这个同样融入了妖怪社会的人类？,156,,,
#,156,0,1,传书,你认识他们？,157,,,
#,157,5,6,Brain,嗯……看你的反应，他们的确来过了。,158,,,
#,158,0,1,传书,我问你是不是认识他们。,159,,,
#,159,5,4,Brain,哎呀，别激动别激动……,160,,,
#,160,5,1,Brain,我的确跟他们有过一些交集，不过可别认为我现在跟他们有什么关系。,161,,,
#,161,5,5,Brain,……看来他们也没能给你留下一个好印象啊。,162,,,
#,162,0,4,传书,你别想多了，我只是必须要确认一下你的立场。,163,,,
#,163,0,1,传书,他们昨天对我不算友好。,164,,,
#,164,5,2,Brain,嗯……嗯，原来如此，可以理解。,165,,,
#,165,0,1,传书,看上去你很了解他们。,166,,,
#,166,5,5,Brain,这取决于你想知道他们哪些方面的信息，我亲爱的小姐。,167,,,
#,167,0,4,传书,……那我姑且就问你几个问题吧。,168,,,
#,168,0,1,传书,他们昨天在试探我对于“神秘学”，“信仰生物”等词语的反应。,169,,,
#,169,0,8,传书,也许还打算试探更多，不过也许是发现我对于这些的确一无所知，就没有再继续下去了。,170,,,
#,170,0,1,传书,我想知道他们的目的，并确保这不会对我的生活产生负面影响。,171,,,
#,171,5,1,Brain,嗯，这的确也验证了我的猜想。,172,,,
#,172,5,6,Brain,先说结论吧，我想你会喜欢听的，传书小姐。,173,,,
#,173,5,5,Brain,他们不会影响到你的生活，他们的目的，是为了保护他们那可爱又可怜的小维亚。,174,,,
#,174,0,6,传书,什么？,175,,,
#,175,5,1,Brain,我接下来要说的，是艾尔尼斯和绯林斯坦一定要向维亚隐瞒的事情。,176,,,
#,176,5,3,Brain,在这一点上，我也持有相同的立场，我相信，你在知道后也会这么做的。,177,,,
#,177,0,1,传书,……,178,,,
#,178,5,1,Brain,我猜你应该已经知道，他们用炼金术把自己的灵魂装进了瓶子里。,179,,,
#,179,5,1,Brain,但这样做还需要一个前提条件，就是他们必须拥有维持自己日常生活的手段。,180,,,
#,180,0,8,传书,他们的……“不可见之手“？,181,,,
#,181,5,6,Brain,看来你已经见识过了，那就好解释多了。,182,,,
#,182,5,1,Brain,在现今的炼金术技艺里，并没有那样的技术存在。,183,,,
#,183,5,1,Brain,他们……艾尔尼斯和绯林斯坦，借助了一些其他的东西。,184,,,
#,184,5,6,Brain,至于这个东西嘛，源自<color=#FFCC00>诺希斯</color>。,185,,,
#,185,0,8,传书,这……跟诺希斯又有什么关系？,186,,,
#,186,5,1,Brain,诺希斯这个国家的信仰，总是充满了谜团。,187,,,
#,187,5,1,Brain,而那里的人类，也总是因为他们狂热的理想主义而四处树敌。,188,,,
#,188,5,1,Brain,瓶中豆三兄弟，“白”之家族，与诺希斯存在某种仇怨。,189,,,
#,189,0,8,传书,……什么仇怨？,190,,,
#,190,5,6,Brain,哎呀，这个就连我也不清楚了。诺希斯人结仇的手段，那可真是……目不暇接。,191,,,
#,191,5,1,Brain,总而言之，艾尔尼斯和绯林斯坦为了解决生存问题，不得不引用他们情绪上决不接受的，诺希斯的技术。,192,,,
#,192,0,8,传书,可是我记得，维亚说“不可见之手”的技术是他研究出来的……,193,,,
#,193,5,1,Brain,艾尔尼斯和菲林斯坦负责背负屈辱，而维亚，他被保护得很好。,194,,,
#,194,5,1,Brain,即使这种保护基于长期的欺骗。,195,,,
#,195,0,1,传书,……,196,,,
#,196,0,1,传书,你也赞同这种做法？,197,,,
#,197,5,1,Brain,这是目前的最优方案，我想你也能理解。,198,,,
#,198,0,4,传书,理解是一方面……,199,,,
#,199,5,2,Brain,认同是另一方面，对吗？不管怎么说，这也是他们自己的选择。,200,,,
#,200,0,4,传书,说到底，他们为什么要把自己变成瓶子？,201,,,
#,201,5,1,Brain,这个嘛，也许是艾尔尼斯嫌人类的寿命太短，也许是绯林斯坦认为人类的力量存在极限。,202,,,
#,202,5,1,Brain,也许单纯是维亚觉得这件事很好玩，又或者……他们原本的身体已经濒临毁灭。,203,,,
#,203,0,1,传书,你知道真正的原因？,204,,,
#,204,5,2,Brain,不，我不知道。我只不过是一名作家，而作家最擅长的就是列举出所有的可能。,205,,,
#,205,5,6,Brain,然后选择最具戏剧性的那一条。,206,,,
#,206,0,1,传书,……,207,,,
#,207,5,6,Brain,啊，差点忘了，他们之所以能看见妖怪，也得托诺希斯的福呢。,208,,,
#,208,5,1,Brain,所以，艾尔尼斯一旦知道还有其他能看见妖怪的人类，就会忍不住过来排除一下威胁。,209,,,
#,209,5,1,Brain,虽然不知道你的情况跟他们是不是同一种，不过看样子，艾尔尼斯应该是对你放心了。,210,,,
#,210,5,6,Brain,总之呢，就算你真的知道有关诺希斯的内幕，他们也不会把你怎么样的。,211,,,
#,211,5,2,Brain,最多叫维亚不要跟你说太多话吧……,212,,,
#,212,0,4,传书,……,213,,,
#,213,0,4,传书,你为什么知道这么多？,214,,,
#,214,5,5,Brain,这话问得，我怎么说也活了两百近三百年。,215,,,
#,215,5,6,Brain,艾尔尼斯的确十分聪明，可凭他二十多岁的阅历与学识如何瞒得过我。,216,,,
#,216,5,5,Brain,平常妖怪的两百年只约为人类的二十年，而我，更像是一位两三百岁的人类。,217,,,
#,217,5,5,Brain,你知道这意味着什么吗？,218,,,
#,218,0,3,传书,额，老爷爷？,219,,,
#,219,5,4,Brain,什、什么？！,220,,,
#,220,5,2,Brain,不不不，这不可能……怎么会是这种评价……,221,,,
#,221,0,1,传书,说明你对人类的了解还不够，Brain。,222,,,
#,222,5,2,Brain,呃……,223,,,
#,223,0,1,传书,人类从不以年龄来丈量自己的学识与智慧。,224,,,
#,224,0,1,传书,当然，年龄越大的人，会有更多的时间去学习与思考。,225,,,
#,225,0,1,传书,但随之迎接他们的，是愈加清晰的，面对衰老与死亡的压迫与恐惧。,226,,,
#,226,0,1,传书,其实我能看出来，你和其他妖怪不一样，你人如其名，Brain。,227,,,
#,227,0,1,传书,你没有因为漫长的寿命而放松自己的思维，这很累，我能理解。,228,,,
#,228,0,1,传书,人类的时间十分短暂，这让人们没有多少时间可以浪费。,229,,,
#,229,0,1,传书,但你们不同。,230,,,
#,230,5,2,Brain,……你说得没错。,231,,,
#,231,5,1,Brain,我花了六十多年去研究人类，我一度以为自己已经十分接近人类了……,232,,,
#,232,0,5,传书,不管你怎么研究，就外表而言，你永远是只狗。,233,,,
#,233,5,4,Brain,别再说这种话了，传书小姐！你知道我不喜欢这样的玩笑！,234,,,
#,234,0,2,传书,好吧，看在你今天告诉了我这么多情报，我就答应你这件事。,235,,,
#,235,0,8,传书,嗯……你还可以提一个其他的要求，我不想欠你的人情。,236,,,
#,236,5,6,Brain,啊，我自然是恭敬不如从命。,237,,,
#,237,5,6,Brain,那么，如果传书小姐在我下次拜访贵店时能稍微不要那么地刻薄就再好不过了。,238,,,
#,238,0,3,传书,……如果你不要再这么阴阳怪气地说话的话。,239,,,
#,239,5,5,Brain,哎呀，当然，当然。,240,,,
#,240,0,0,Brian,喔，说了这么多，把我原本的目的都快忘了。,241,,,
#,241,5,5,Brain,传书小姐，如果我再拜托您一件举手之劳的小事，应该无伤大雅吧？,242,,,
#,242,0,3,传书,呃……,243,,,
#,243,5,6,Brain,我就当您是同意啦，下次如果瓶中豆再来，代我对艾尔尼斯说一句话。,244,,,
#,244,5,6,Brain,（赫密士语）“<color=#FFCC00>如其上，同其下</color>”,245,,,
#,245,0,7,传书,……什么？,246,,,
#,246,5,6,Brain,一句经典的赫密士语录而已，也许能让他们回忆起这里还有一位同乡。,247,,,
#,247,0,1,传书,所以，原来你也是赫密士人？,248,,,
#,248,5,6,Brain,准确来说，是赫密士恶魔。,249,,,
#,249,0,3,传书,<size=70%>看来我对赫密士这个国家的印象滑坡是难以挽回了……</size>,250,,,
#,250,0,4,传书,不过看瓶中豆上次的反应，我估计应该不会再来了……,251,,,
#,251,0,8,传书,除非……,252,,,
#,252,0,1,传书,等等，你为什么不自己去说？你也跟他们有仇？,253,,,
#,253,5,6,Brain,没有没有，我们之前有过一段不太愉快的合作。,254,,,
#,254,5,6,Brain,他们现在估计不太想碰见我，我也就不让他们难堪了。,255,,,
#,255,0,4,传书,看来是他们对不起你啊，真是稀奇。,256,,,
#,256,5,5,Brain,我本人是不在意啦，本来也不是什么大事——,257,,,
#,257,5,6,Brain,啊，他们有没有向你提起过他们的工作？,258,,,
#,258,4,1,[ ],你们好，希望我没有打扰到二位的谈话。,259,In,,
#,259,0,2,传书,是[ ]小姐，欢迎。,260,,,
#,260,4,1,[ ],那么，我将再次进行为博士带去心仪咖啡的任务。,261,,,
#,261,4,1,[ ],今天博士会“称赞”的咖啡是——热拿铁，请打包一份，谢谢。,263,,,
#,263,0,5,传书,嗯，好的。,264,,,
$,264,10,,,,265,,,
#,265,4,1,[ ],确认收到，交易已完成。,266,,,
#,266,5,6,Brain,您好，这位美丽的小姐。,267,,,
#,267,5,6,Brain,请允许我介绍我自己，我的名字是“首脑”，当然，你也可以叫我Brain。,268,,,
#,268,1,6,旦夕,他又开始了……,269,,,
#,269,4,1,[ ],很有趣的名字，但这会导致人们更倾向于叫您的原名。,270,,,
#,270,4,1,[ ],为您推荐数个更温和的译名选项：“脑儿”，“布廉”，“小白”，等。,271,,,
#,271,5,4,Brain,[ ]小姐……这，这实在不妥……,272,,,
#,272,4,1,[ ],已收到您的反馈，我会继续调整优化相关功能！,273,,,
#,273,,,,故事还在继续……,274,,,
$,274,,,,,,,,
=======
﻿标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,1,传书,开场巴拉巴拉。,1,In,
#,1,2,1,索骥,我又来了。,2,In,
#,2,0,1,传书,好。,3,,
$,3,5,,,,4,,
#,4,2,1,索骥,我们先说的别的事，把昨天那个关键词用了。,5,,
#,5,0,1,传书,额，好。,6,,
#,6,2,1,索骥,并且在此之间，我还需要再说一个关键词在明天用。,7,,
&,7,0,1,传书,首先，昨天那个关键词是@神秘学家-11@。,,,
&,8,0,1,传书,啊再说吧。,12,,
#,9,2,1,索骥,这个讨论是以“神秘学家”开始的……,10,,
#,10,2,1,索骥,这附近有一家专门买赫密士出版书籍的书店，里面经常提到如何与神秘学家建立联系之类的……,11,,
#,11,2,1,索骥,那家书店叫“<color=#FFCC00>圣徒</color>”。,12,,
#,12,2,1,索骥,我想问你一些事，或者说，参考一下你的意见。,13,,
#,13,0,1,传书,为什么？,14,,
#,14,2,1,索骥,我也不知道，也许是因为你是人类？,15,,
#,15,2,1,索骥,也有可能因为你是局外人？旁观者清。,16,,
#,16,0,1,传书,那你说吧。,17,,
#,17,2,1,索骥,关于阿涟还有小榛，他们虽然是我工作上的后辈，但其实也算是我的半个儿子。,18,,
#,18,2,1,索骥,当初是我推荐他们来这边工作，想着有我照顾他们也不至于太辛苦。,19,,
#,19,2,1,索骥,他们当时都同意了，我也没多想什么。,20,,
#,20,2,1,索骥,但最近他们突然说要申请辞职。,21,,
#,21,2,1,索骥,……其实也不能算突然，现在想想他们很早就想去搞音乐，只是我一直没当回事。,22,,
#,22,2,1,索骥,但是这怎么行？能有一份体制内工作，那这一辈子也不用愁什么生计了。,23,,
#,23,2,1,索骥,要是现在辞职了，可就再也回不来了。我也认识许多自由职业的家伙，他们处境一个比一个惨。,24,,
#,24,2,1,索骥,而且最近工作也莫名其妙忙了起来，要是他们一走……,25,,
#,25,0,1,传书,这样啊……,26,,
#,26,2,1,索骥,小榛小时候父母就死了，跟着阿涟家待了几年，阿涟的父母也被派去外地了……,27,,
#,27,2,1,索骥,后来他们就都跟着我了，直到把他们带到成年……,28,,
#,28,2,1,索骥,不管怎么说，我也得对他们的前途和人生负责吧？,29,,
#,29,2,1,索骥,他们的辞职申请是要从我手上走的，我就拦了下来，也劝他们劝了好几次。,30,,
#,30,2,1,索骥,只不过……他们本来都是很开朗的孩子，最近因为这件事总是郁郁寡欢。,31,,
#,31,2,1,索骥,我看到他们这样也很难受……慢慢地也不太拿得定主意了。,32,,
#,32,2,1,索骥,但我实在也没有其他人可以聊这件事……所以就来找你了。,33,,
#,33,0,1,传书,这种私事告诉我没关系吗？,34,,
#,34,2,1,索骥,反正也不是什么秘密。周围人都知道的。,35,,
#,35,0,1,传书,您猜怎么着，我也是孤儿。,36,,
#,36,0,1,传书,我做了一个孤注一掷的决定，那就是来这里开咖啡店。,37,,
#,37,0,1,传书,结果还不错吧。,38,,
#,38,0,1,传书,不过还是不要再继续说我的事了。,39,,
#,39,0,1,传书,如果你问我的意见，我只能说抱歉，我无法提供任何意见。,40,,
#,40,0,1,传书,毕竟我对妖怪的社会并不了解，我甚至不能帮你分析他们辞职与否会有何种影响。,41,,
#,41,0,1,传书,我想这毕竟是你的选择。你的决定一定有其理由，你的犹豫也一定存在意义。,42,,
#,42,0,1,传书,对于人类来说，我们只是一直选择自己认为的，对自己最有利的那条路而已。,43,,
#,43,2,1,索骥,……,44,,
#,44,2,1,索骥,我了解了。,45,,
#,45,2,1,索骥,我回去想想。,46,,
#,46,2,1,索骥,,47,Out,
#,47,1,1,旦夕,你直接跟他说不要干涉别人的选择不就行了。,48,,
#,48,0,1,传书,我不就是这么说的吗？,49,,
#,49,1,1,旦夕,你对他的理解能力还真有信心……,50,,
#,50,5,1,Brain,噢，看来我错过了一场精彩的思想碰撞。,51,In,
$,51,5,,,,52,,
#,52,1,1,旦夕,传书单方面输出而已。,53,,
#,53,0,1,传书,你来干嘛？,54,,
#,54,5,1,Brain,居然还有商人会不欢迎顾客吗？,55,,
#,55,0,1,传书,你猜猜看为什么？,56,,
#,56,5,1,Brain,嘿，那天只是因为我喝多了，我根本不知道我在干什么。,57,,
#,57,1,1,旦夕,你又不记得了？看来我可以再复述一遍那天你们两个的对话——,58,,
#,58,0,1,传书,不行，闭嘴。,59,,
#,59,5,1,Brain,我当然记得，我是说，记得你们之后说的。但是都已经过了这么久了你知道我不是那样的人。,60,,
#,60,0,1,传书,第一印象是很难改变的。,61,,
#,61,5,1,Brain,天啊……,62,,
#,62,5,1,Brain,好吧，我的确也有一些事情。,63,,
#,63,5,1,Brain,听说最近瓶中豆（BIABS）到附近来了，我想他们可能会来这里……,64,,
#,64,0,1,传书,为什么？,65,,
#,65,5,1,Brain,毕竟他们曾经也是人类，或许他们会想见见其他能看见妖怪的人类？,66,,
#,66,0,1,传书,好吧，他们的确来了，但是你找我也没有什么用啊。,67,,
#,67,5,1,Brain,嗯……不过至少验证了我的猜想。,68,,
#,68,5,1,Brain,嘿，下次如果他们再来，对那个蓝色的说:“<color=#FFCC00>如其上，同其下<color=#FFCC00>”,69,,
#,69,0,1,传书,……什么？,70,,
#,70,5,1,Brain,一句经典的赫密士语录而已，这也许能让他们回想起来这里还有一个同乡。,71,,
#,71,0,1,传书,（那三个瓶子不知道还会不会再来，要说的话……还是回他们上一次来的时候说吧？）,72,,
#,72,0,1,传书,你为什么不自己去说？你跟他们有仇？,73,,
#,73,5,1,Brain,没有没有，我们之前合作过——他们有没有跟你说过他们的工作？,74,,
#,74,4,1,[ ],你们好，我希望我没有打扰到二位的谈话。,75,In,
#,75,0,1,传书,欢迎。,76,,
#,76,4,1,[ ],请给我一杯咖啡。,77,,
$,77,9,,,,78,,
#,78,5,1,Brain,你好，这位美丽的小姐。,79,,
#,79,4,1,[ ],你好，这位狗先生。,80,,
#,80,5,1,Brain,额，我不是狗。好吧，不说这个，我的名字是“首脑”，当然，你也可以叫我Brain。,81,,
#,81,1,1,旦夕,这家伙又开始了。,82,,
#,82,4,1,[ ],很有趣的名字，但这会导致人们更倾向于叫你的原名。,83,,
#,83,4,1,[ ],我的名字没有常规的读法，你可以叫我Kk。,84,,
