标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,25,6,1,艾尔尼斯,……嗯，正是想象中的那种韵味。,26,,
#,26,6,1,艾尔尼斯,实际上，也是来向您道谢，我们最终向维亚坦白了“无形之手”所用的诺希斯技术——,27,,
#,27,6,1,艾尔尼斯,在上次与您交涉之后，我们的确反思了这个问题。,28,,
#,28,6,1,艾尔尼斯,事实也证明，是我多虑了。,29,,
#,29,6,3,维亚,对对！诺希斯什么的我是不在意啦，但是你们怎么能骗我说这是我的研究？那岂不是我先前为他人的讲解都成了吹嘘！,30,,
#,30,6,2,绯林斯坦,哈，这话你都说了第八遍了。,31,,
#,31,6,1,艾尔尼斯,以后不会发生这种事了，维亚，我保证。,32,,
#,32,6,1,艾尔尼斯,不过，传书小姐，既然您知道这些，意味着您也……,33,,
#,33,6,1,艾尔尼斯,……以某种方式获取了灵质域的“<color=#FFCC00>索菲亚的注目</color>”？,34,,
&,34,0,1,传书,这……也许跟那位“@乌洛塔罗斯-36@”有关。,,,
&,35,0,1,传书,呃，那是什么？,49,,
#,36,6,1,艾尔尼斯,所以您能听清那个词，果然……,37,,
#,37,0,3,传书,实话说，我也不清楚自己到底为什么突然能看到妖怪了。,38,,
#,38,0,3,传书,但根据我得到的信息，发生我这种情况应该只有一种可能。,39,,
#,39,6,1,艾尔尼斯,——乌洛塔罗斯亲自来了这附近。,40,,
#,40,0,3,传书,……这件事很严重吗？,41,,
#,41,6,1,艾尔尼斯,那倒不是……不过得知这个信息之后，我们也许需要避一避。,42,,
#,42,6,1,艾尔尼斯,您或许已经猜到，我们三个并不是通过常规手段获取的灵质域的部分授权。,43,,
#,43,6,1,艾尔尼斯,唉，这也是没办法的事，只能希望不要撞见她本人……,44,,
#,44,0,4,传书,其实，我能看见妖怪已经是三年之前的事情了，说不定都已经离开了？,45,,
#,45,6,1,艾尔尼斯,三年对他们来说也不过如同三个月左右，嗯……,46,,
#,46,6,1,艾尔尼斯,希望如此吧。,47,,
#,47,6,1,艾尔尼斯,对了，关于Brain……,48,,
#,48,6,1,艾尔尼斯,根据您上次告诉我的信息，我们昨天晚上的确在附近的酒吧里发现了他。,55,,
#,49,6,1,艾尔尼斯,……您不知道？,50,,
#,50,0,4,传书,其实你们的事，单纯就是Brain告诉我的而已……哈哈……,51,,
#,51,6,2,绯林斯坦,艾尔尼斯，你啊……,52,,
#,52,6,1,艾尔尼斯,……那请您忘掉我先前说的那些吧，有些事情，让其保持谜团或许更好。,53,,
#,53,0,3,传书,……,54,,
#,54,6,1,艾尔尼斯,啊，说到Brain，实际上，我们昨天晚上的确在附近的酒吧里发现了他。,55,,
#,55,6,1,艾尔尼斯,呃只可惜，他当时似乎有些神志不清了。所以我们并没有机会向他正式的道歉。,56,,
#,56,0,1,传书,喔，他啊……,57,,
#,57,0,4,传书,其实他本人好像说过他没有那么在意，所以你们不道歉应该也没事。,58,,
#,58,6,3,维亚,不行不行，违反了合约的条款一定要做出补偿！,59,,
#,59,6,3,维亚,而且，那个恶魔先生一看就不擅长打架，当时他可是面对了连雷迪都束手无策的邪灵……,60,,
#,60,6,2,绯林斯坦,这么一说好像还真是。,61,,
#,61,6,2,绯林斯坦,当时我跟艾尔尼斯因为太急，没有指定具体的召唤名，会出现什么类型的灵体都是有可能的……,62,,
#,62,6,2,绯林斯坦,召唤出了一个能够沟通的恶魔，已经是万幸了。,63,,
#,63,6,2,绯林斯坦,尽管如此，他在我们还没解释清楚现状时，就开了一些不合时宜的玩笑……,64,,
#,64,6,2,绯林斯坦,哼，我当时差点没把他捏碎。,65,,
#,65,0,3,传书,以Brain的性格……可以想象。,66,,
#,66,6,1,艾尔尼斯,后来我们带他去了营救维亚的邪灵据点，然后……您应该都知道了。,67,,
#,67,6,1,艾尔尼斯,其实我们也没有从一开始就打算逃走，但当时，Brain说他可以解决。,68,,
#,68,6,1,艾尔尼斯,我十分清楚，他无法独自应对那么多敌人，虽然不知道他是出于装酷或是什么别的目的……,69,,
#,69,6,1,艾尔尼斯,我还是选择优先把维亚带去了安全的地方。,70,,
#,70,1,3,旦夕,难不成Brain其实个隐藏的高手？,71,,
#,71,6,2,绯林斯坦,我从后门离开的时候，好像听到了那家伙的惨叫声。,72,,
#,72,6,1,艾尔尼斯,所以，Brain说他不在意，也许只是出于维护自己的颜面。,73,,
#,73,6,1,艾尔尼斯,虽然恶魔难以被杀死，但……呃……应该还是很痛的。,74,,
#,74,6,1,艾尔尼斯,况且，如果他真的毫不在意，也不必麻烦传书小姐特意传那一句话。,75,,
#,75,0,7,传书,这么一说也确实有道理……,76,,
#,76,0,3,传书,不过，像他那么聪明的人，会让自己吃这么大的亏吗？,77,,
#,77,0,3,传书,算了，我也不想猜测他有什么打算。,78,,
#,78,6,1,艾尔尼斯,嗯，我要说的也就是这些了。,79,,
#,79,6,1,艾尔尼斯,那么，我们就先离开了。,80,,
#,80,0,2,传书,喔，再见。,81,,
#,81,4,,？？？,喂，艾尔尼斯，等等。,82,,
#,82,6,1,艾尔尼斯,什么、谁？,83,,
#,83,4,6,[ ],我有事要委托你们。,84,In,Cinematic Jazz.wav|bi
#,84,0,3,传书,……,85,,
#,85,6,3,维亚,啊，是那个一直在睡觉的机器人姐姐，您终于醒啦！,86,,
#,86,6,1,艾尔尼斯,你是——伥仔博士家的机器人。,87,,
#,87,4,6,[ ],现在不是了，本来以前也不是。,88,,
#,88,4,6,[ ],我就直说了，我需要你们潜入伥仔家里，删除数据库中所有有关“生命之树”的资料和存档。,89,,
#,89,4,8,[ ],也就是，终止他的研究。,90,,
#,90,6,1,艾尔尼斯,……请容我拒绝。,91,,
#,91,4,6,[ ],你可以放心，报酬不会少。,92,,
#,92,6,1,艾尔尼斯,这是违法的。,93,,
#,93,4,7,[ ],喔？你们干过的脏活还少吗？,94,,
#,94,6,2,绯林斯坦,喂，你说话就不会看看场合吗？,95,,
#,95,4,6,[ ],嗯？啊……,96,,
#,96,4,7,[ ],抱歉啊，作为机器人呢，情商低一点也是没办法的事。,97,,
#,97,4,6,[ ],倒是你们，费劲心思演了这么久的戏，真的能让那位小观众处于一个更美好的世界吗？,98,,
#,98,6,3,维亚,……这是在说什么呀？,99,,
#,99,6,2,绯林斯坦,你想变成一堆废铁吗，嗯？！,100,,
#,100,6,1,艾尔尼斯,好了，斯坦，冷静一下。,101,,
#,101,6,1,艾尔尼斯,对于我拒绝委托的原因，我想你很清楚。,102,,
#,102,6,1,艾尔尼斯,我们先前已经接下了伥仔博士的委托，做他的临时顾问。,103,,
#,103,6,1,艾尔尼斯,不能背叛雇主，是信誉问题，也是原则问题。,104,,
#,104,6,1,艾尔尼斯,至于你，[ ]小姐，维亚很早就察觉到你并非只是伥仔博士的仿生人助手。,105,,
#,105,6,1,艾尔尼斯,现在这样才是你原本的人格吧？,106,,
#,106,6,1,艾尔尼斯,因此，我们对你委托的动机也十分怀疑。,107,,
#,107,4,6,[ ],……,108,,
#,108,4,6,[ ],我的动机？啧……,109,,
#,109,4,8,[ ],难道你真的不知道伥仔现在在做什么吗，艾尔尼斯！,110,Shake,
#,110,4,8,[ ],你所说的不能背叛雇主，就是看着他自取灭亡？,111,,
#,111,6,1,艾尔尼斯,……,112,,
#,112,6,1,艾尔尼斯,……如果这是伥仔博士自己的意愿，我无权左右。,113,,
#,113,4,8,[ ],因为他跟你非亲非故，只是一个陌生人，你就可以眼睁睁看着他在你的协助下成为自己的实验牺牲品？,114,,
#,114,6,1,艾尔尼斯,请你不要误会，我十分仰慕伥仔博士的研究精神与渊博知识，同样不希望世界上失去这样一位学者。,115,,
#,115,6,1,艾尔尼斯,但请你想一想，[ ]小姐。,116,,
#,116,6,1,艾尔尼斯,你所希望的，阻止伥仔博士自杀性质的研究，到底是基于谁的想法？,117,,
#,117,6,1,艾尔尼斯,是博士自己，还是你，还是其他任何一个人？,118,,
#,118,6,1,艾尔尼斯,若你成功借我们之手，以这种方式阻止了他，他又会怎么做？,119,,
#,119,6,1,艾尔尼斯,是干脆地放弃，还是透支更多的精力重新启动研究，还是抱着遗憾度过他剩余的漫长岁月？,120,,
#,120,6,1,艾尔尼斯,你应当比我更了解伥仔博士，你无疑知道答案。,121,,
#,121,4,8,[ ],没错，正是因为我了解他，所以我十分清楚，他正需要有人阻止他的一时冲动，帮他悬崖勒马！,122,,
#,122,6,1,艾尔尼斯,但假如伥仔博士并非冲动，而是为此下了巨大的决心，你打算做的这些都只会浪费他的觉悟呢？,123,,
#,123,6,1,艾尔尼斯,当然，这也不过是我的猜测。我也同样与伥仔博士相处过一段时间，这样的猜测建立于我的观察。,124,,
#,124,6,1,艾尔尼斯,[ ]小姐，我只能向你提出一个诚恳的建议。,125,,
#,125,6,1,艾尔尼斯,入室销毁实验数据解决不了任何问题。或许，我们都应该听听伥仔博士的真实想法。,126,,
#,126,6,1,艾尔尼斯,但这大概只有你能做到了，[ ]小姐。,127,,
#,127,6,1,艾尔尼斯,……毕竟我们跟博士非亲非故，只是一个陌生人。,128,,
#,128,4,6,[ ],……,129,,
#,129,6,1,艾尔尼斯,我们该离开了，再会。,130,,
#,130,6,2,绯林斯坦,……哼。,131,,
#,131,6,4,瓶中豆,,132,Out,
#,132,4,6,[ ],切……真能说。,133,,Dumb Funk.wav|bi
#,133,4,6,[ ],啊，传书，不好意思，让你旁听了这么久。还没来得及跟你解释清楚。,134,,
#,134,0,3,传书,你是……三年前那位交警小姐？,135,,
#,135,4,6,[ ],你已经想起来了？那就简单多了。,136,,
#,136,4,6,[ ],三年前那场意外之后，我全身机械与电子结构几乎完全损坏，只有数据储存区还有大部分是完整的。,137,,
#,137,4,6,[ ],然后大概是伥仔捡到了我吧，等我的储存再次开始写入的时候，已经差不多过了四个半月。,138,,
#,138,4,6,[ ],之前你见到的那个我，就是当时我的残骸被伥仔修复改装后植入了覆盖抑制模块的一个计算机而已。,139,,
#,139,4,6,[ ],而我能摆脱那个抑制模块，还多亏了前几天伥仔临时做的味觉模块。,140,,
#,140,4,6,[ ],其实味觉模块什么的，我本来就有，只不过伥仔不敢随意启用我原本的组件，就在抑制模块的框架上重新制作了一个。,141,,
#,141,4,6,[ ],估计是他那几天过于疲惫，所以模块程序上还有很多漏洞没来得及修复就被启用了。,142,,
#,142,4,6,[ ],所以我利用这些漏洞关闭了整个抑制模块，但为了让伥仔将它们彻底取出，昨天才会装作故障的样子。,143,,
#,143,0,3,传书,……,144,,
#,144,4,6,[ ],……唉。,145,,
#,145,4,6,[ ],这么说是不是有种我很讨厌伥仔的感觉？虽然这话也不假吧……,146,,
#,146,4,8,[ ],但如果我一直没有身体的控制权，我就不可能阻止他继续研究。,147,,
#,147,4,6,[ ],……甚至连和他平等对话的机会都没有。,148,,
#,148,4,7,[ ],幸好昨天伥仔没有发现什么异样。实话说，我对我的演技没有什么信心。,149,,
#,149,0,3,传书,所以现在……你这是从伥仔博士家里逃了出来？,150,,
#,150,4,7,[ ],也算不上逃，只是我不能再待在那里了。,151,,
#,151,4,6,[ ],如果不是因为三年前那场意外，也不会发生这些事情了。,152,,
#,152,4,6,[ ],不过真没想到，都过了三年，居然还能在另一个地方遇到你。,153,,
#,153,4,6,[ ],在遇到你之前，我一直以为你和当时的另一位小姑娘都已经……,154,,
#,154,4,6,[ ],……,155,,
#,155,4,6,[ ],……看来不是每个人都这么幸运。,156,,
#,156,4,6,[ ],抱歉，传书。,157,,
#,157,0,1,传书,不用因为这个跟我道歉，毕竟已经这么久了。,158,,
#,158,4,6,[ ],好吧，总之你也差不多清楚发生什么事了。,159,,
#,159,4,7,[ ],我也不是有意把你牵扯进来，只不过昨天的确情况特殊。,160,,
#,160,0,1,传书,可以理解，只不过……,161,,
#,161,0,1,传书,上一次因为特殊情况被你牵扯进来，可不是什么好的回忆。,162,,
#,162,4,6,[ ],……那我这次可以真的向你道歉了吧？,163,,
#,163,0,2,[ ],三年前的那天，我就已经原谅你了。,164,,
#,164,4,7,[ ],谢谢。,165,,
#,165,4,7,[ ],可惜我还有别的事情要处理，不能再继续待在这了，传书。,166,,
#,166,0,1,传书,祝你好运。,167,,
#,167,4,6,[ ],借你吉言。,168,,
#,168,4,6,[ ],,169,Out,
#,169,1,1,旦夕,……,170,,
#,170,1,6,旦夕,完全没有我插话的空间啊。,171,,
#,171,0,1,传书,你偶尔安静一会也挺好的吧？,172,,
#,172,1,3,旦夕,对了，刚刚她说的另一个小姑娘是谁啊？,173,,
#,173,0,7,传书,嗯……,174,,
#,174,0,7,传书,不太想告诉你，而且跟你也没关系吧？,175,,
#,175,1,1,旦夕,你这人怎么这么小气啊……,176,,
#,176,1,2,旦夕,哼，那我以后恢复记忆了也什么都不告诉你。,177,,
#,177,0,9,传书,你先恢复了再说吧。,178,,
#,178,1,4,旦夕,喂！这不公平！,179,,
#,179,12,,？？？,呜呜……,180,,
#,180,0,3,传书,等等，好像有谁在那。,181,,
#,181,1,6,旦夕,呃，怪瘆人的……,182,,
#,182,12,4,？？？,呜呜……,183,In,
#,183,0,3,传书,呃，您好，我能帮您什么？,184,,
#,184,12,4,？？？,我、我找不到外婆了……姐姐们也不见了……呜呜……,185,,
#,185,12,4,？？？,森林里好黑……好可怕……,186,,
#,186,1,1,旦夕,是个小女孩？长得还挺高……,187,,
#,187,0,3,传书,<size=70%>旦夕，快看看，她是妖怪还是人类？我看不出来。</size>,188,,
#,188,1,6,旦夕,<size=70%>啊？呃……人类吧，大概。</size>,189,,
#,189,0,6,传书,<size=70%>什么叫大概啊，你不是能看见吗？</size>,190,,
#,190,1,6,旦夕,<size=70%>对、对，她就是人类，很明显嘛。</size>,191,,
#,191,0,3,传书,<size=70%>这下糟了，怎么会有小女孩在这个时间跑到这里来……</size>,192,,
#,192,0,4,传书,那个……小妹妹，你先坐着，想一想家在哪，怎么过来的。,193,,
#,193,0,4,传书,姐姐给你倒一杯热牛奶，好不好？,194,,
#,194,12,3,？？？,嗯、嗯……,195,,
$,195,0,,,,196,,
#,196,0,2,传书,做好啦——,197,,
#,197,0,6,传书,诶？人呢？,198,,
#,198,1,6,旦夕,……,199,,
#,199,0,3,传书,旦夕，怎么回事？你没有看着她吗？,200,,
#,200,1,6,旦夕,刚刚她不知道是不是哭累了，在柜台上趴了一会。,201,,
#,201,1,6,旦夕,然后突然抬头瞪了我一眼，直接就跑了……椅子都被踢倒了。,202,,
#,202,0,3,传书,……啊？,203,,
#,203,1,6,旦夕,我、我也不知道怎么回事啊，那个眼神简直是要杀了我一样……,204,,
#,204,1,6,旦夕,<size=70%>……难道她其实是妖怪？</size>,205,,
#,205,0,3,传书,唉，算了，我去把椅子扶好吧。,206,,
#,206,11,,？？？,我来吧。,207,,
#,207,,,,传书还未出门，那位猎人就出现在了柜台面前。,208,,
#,208,11,1,阿犸,……,209,In,
#,209,,,,猎人无声地将翻到的椅子立好，拍了拍粘在边缘的尘土。,210,,
#,210,0,3,传书,啊，谢谢……,211,,
#,211,11,3,阿犸,看来，你还是没有作为弱小生物该有的警惕。,212,,
#,212,11,1,阿犸,刚才快速离开的那个妖怪，十分危险。,213,,
#,213,0,5,传书,她是个……妖怪？,214,,
#,214,1,6,旦夕,,215,,
#,215,0,3,传书,就算是妖怪，可她不是只是一个小女孩吗？,216,,
#,216,11,1,阿犸,小女孩？你在说什么，那种气场给我的感觉就如同一头野兽。,217,,
#,217,11,3,阿犸,我明白了，小女孩也许是她的伪装。,218,,
#,218,11,1,阿犸,虽然一般来说，晚上妖怪不会做什么出格的举动，但也有可能出现例外。,219,,
#,219,11,3,阿犸,近期一些妖兽的行为也出现了异常，表现为更具攻击性和侵略性。,220,,
#,220,11,1,阿犸,考虑到这一点，我姑且来查看一下你们的安全情况。,221,,
#,221,0,4,传书,谢谢关心，不过我们好像暂时还没有遇到什么形似妖兽的东西……,222,,
#,222,11,1,阿犸,这并非所谓的关心，只不过万一你们出现了什么意外，那么卯时组一定会调查这里出现过的所有顾客。,223,,
#,223,11,3,阿犸,我不想被找上麻烦。,224,,
#,224,0,4,传书,哈哈……,225,,
#,225,0,2,传书,不过来都来了，不点一杯咖啡吗？,226,,
#,226,11,1,阿犸,不了。这种饮料虽然口味有些奇特，但是提神的功效的确显著。,227,,
#,227,11,1,阿犸,但通常而言，如此显著的原因是我首次接触这种饮料中所含有的成分。,228,,
#,228,11,1,阿犸,如果长期饮用，势必会导致这种提神效果减弱甚至消失。,229,,
#,229,11,3,阿犸,嗯……的确还是更像药物一些，只不过暂且相信卯时组的判断，就当做没有副作用吧。,230,,
#,230,0,4,传书,无意冒犯，但……你好像对卯时组意见很大？,231,,
#,231,11,1,阿犸,嗯？为什么会这么认为？,232,,
#,232,11,3,阿犸,我对卯时组并没有什么意见。,233,,
#,233,11,1,阿犸,只不过<color=#FFCC00>平祟战争</color>之后，全国各地的居民都对这些治安组织失去了部分信心。,234,,
#,234,11,1,阿犸,更不用说后续建立的所谓“<color=#FFCC00>沙场</color>”，简直是匪夷所思……,235,,
#,235,0,3,传书,……又是“沙场”。,236,,
&,236,0,1,传书,可是建立沙场的，不是“@众生-238@”吗？,,,
&,237,0,1,传书,而且，妖怪……也会有战争啊。,268,,
#,238,11,1,阿犸,谁又给你说了这些多余的话……,239,,
#,239,11,3,阿犸,让我猜猜，是那个整天垮着脸的兔子，还是那个笑嘻嘻的老虎。,240,,
#,240,11,1,阿犸,哼，“众生”。说得真好听。,241,,
#,241,11,1,阿犸,我不知道他们是怎么跟你说的，反正那些警察也都用的同一套话术。,242,,
#,242,11,1,阿犸,的确，沙场由“众生”建立，这不由任何人主导，却是所有人的意愿。,243,,
#,243,11,1,阿犸,上面的人对其听之任之，也不过是自古以来的传统。,244,,
#,244,0,3,传书,所以……“众生”是某种决策手段？,245,,
#,245,11,1,阿犸,你还真敢说啊，人类。不过就是这么回事。,246,,
#,246,11,1,阿犸,在稳定的时期，遵循这个决策可以回应大多数人的需求，姑且能算是正确的选择。,247,,
#,247,11,1,阿犸,一旦稳定被打破，这种由所有人的理性部分构成的存在只能看见眼前极短一段未来。,248,,
#,248,11,1,阿犸,“沙场”就是其鼠目寸光最好的体现。,249,,
#,249,0,3,传书,……,250,,
#,250,0,3,传书,但是万一，我是说万一，“众生”比你看得更远呢？,251,,
#,251,11,3,阿犸,这当然有可能，我也不过是一个猎人，猎人只有直觉。,252,,
#,252,11,1,阿犸,你收集到的所有信息也不过是信息，你需要自己判断。,253,,
#,253,11,1,阿犸,……还有，那个老虎，你不应该过多接触。,254,,
#,254,0,1,传书,你说金之鬼先生？为什么？,255,,
#,255,11,1,阿犸,他的确是个好人，只不过是大多数人的好人。,256,,
#,256,0,3,传书,这是……什么意思？,257,,
#,257,11,1,阿犸,没有什么意思。直觉永远只会告诉我该做什么，而不是为什么那么做。,258,,
#,258,11,1,阿犸,……话题扯太远了。总之，我的目的已经达到了。,259,,
#,259,11,1,阿犸,别忘了我的工作。,260,,
#,260,11,1,阿犸,,261,Out,
#,261,0,3,传书,……,262,,
#,262,,,,战争，“众生”，沙场……,263,,
#,263,,,,好像不管去了哪里，这些事情总是存在。,264,,
#,264,,,,传书想起来以前不知道听谁说过一句话。,265,,
#,265,,,,现实从不会被击溃，只因你所看见的一切，皆为现实。,266,,
#,266,0,1,传书,算了……也不是我该考虑的事情。,267,,
#,267,0,1,传书,比起这些，之前那个小女孩都更值得担心。,284,,
#,268,11,1,阿犸,哼，在你印象中，难道妖怪个个都是大善人吗？,269,,
#,269,11,3,阿犸,算了，都是一百多年前的事了，也跟你们人类没什么关系。,270,,
#,270,11,1,阿犸,现在的卯时组换了新组长，比之前的确好了不少。,271,,
#,271,11,3,阿犸,不过也就仅此而已，<size=70%>还害得我处处行动不便……</size>,272,,
#,272,11,1,阿犸,<size=70%>啧，要不是为了还清越的人情……</size>,273,,
#,273,11,1,阿犸,……话题扯太远了。总之，我的目的已经达到了。,274,,
#,274,11,1,阿犸,别忘了我的工作。,275,,
#,275,11,1,阿犸,,276,Out,
#,276,0,4,传书,……,277,,
#,277,0,4,传书,感觉这位阿犸小姐比[ ]小姐更像机器人……,278,,
*,278,,,,5128=130^279|5128=173^283,,,
#,279,0,2,传书,不过，金之鬼先生和朔望都那么说了，说不定她真的其实是个很好的人？,280,,
#,280,1,1,旦夕,就因为她帮你扶了一次椅子？,281,,
#,281,0,9,传书,是啊是啊，出门一趟可是很麻烦的。,282,,
#,282,1,3,旦夕,莫名其妙。,283,,
#,283,0,3,传书,但之前那个小女孩也的确有点奇怪……,284,,
#,284,0,7,传书,虽然现在时间还早，路上妖怪比较少，但好歹也算是在众目睽睽之下……,285,,
#,285,0,7,传书,而且，我真的不觉得她到底有什么危险……,286,,
#,286,0,7,传书,……危险？,287,,
#,287,0,7,传书,当时决定来这里开咖啡店的时候，完全没有考虑过这个方面。,288,,
#,288,0,1,传书,……那个时候的我，已经没有余力思考这些了。,289,,
#,289,0,1,传书,这三年来，就算是走运……又怎么样？,290,,
#,290,0,1,传书,……命运，还欠了我很多运气呢。,291,Out,
#,291,1,1,旦夕,……,292,Out,
$,292,,,,,,,
