标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,29,4,1,[ ],请放心，我并不携带任何武装模块。,30,,
#,30,4,1,[ ],现在，我负责为博士进行各项研究记录和日常生活辅助。,31,,
#,31,4,1,[ ],例如，当前任务是为博士带回更贴近博士喜好的咖啡。,32,,
#,32,1,6,旦夕,喔、喔。,33,,
#,33,1,6,旦夕,博士……是谁？,34,,
#,34,4,1,[ ],很乐意向您介绍博士，接下来将播放——,35,,
#,35,4,3,[ ],啧……,36,,
#,36,4,1,[ ],博士，也就是伥仔大人，是所有妖怪中最具智慧、才能与美德的至高完美之人。,37,,
#,37,4,1,[ ],博士拥有年轻且英俊的相貌，与强壮且威严的体魄，简直是……,38,,
#,38,4,1,？？？,停！停下！,39,,
#,39,4,1,？？？,这一条我都已经禁用了，你为什么还说出来？！,40,,
#,40,4,1,[ ],非常抱歉，博士，目前没有发现可能的原因。,41,,
#,41,1,1,旦夕,咦？谁在说话？,42,,
#,42,4,1,[ ],为您解答，是博士在使用远程通话设备传达博士的“意愿”。,43,,
#,43,1,6,旦夕,……,44,,
#,44,0,4,传书,好像，之前听到了什么奇怪的话……,45,,
#,45,4,1,[ ],刚才似乎出现了意外，需要我重新向您介绍博士吗？,46,,
#,46,1,6,旦夕,不用了，大概了解了……,47,,
#,47,4,1,[ ],自我介绍已完成，现在，请问如何称呼二位？,48,,
#,48,1,1,旦夕,啊，她叫传书，我叫旦夕。,49,,
#,49,4,1,[ ],感谢您的告知。,50,,
#,50,0,1,传书,好了好了，终于弄完了。,51,,
#,51,0,2,传书,已经可以准备做咖啡了，额……[ ]小姐，您要点什么？,52,,
#,52,4,1,[ ],冰拿铁，一杯，打包，谢谢。,53,,
#,53,0,2,传书,好的，请稍等。,54,,
$,54,8,,,,55,,
#,55,0,2,传书,您的冰拿铁。,56,,
#,56,4,1,[ ],已确认交易完成，非常感谢您，传书小姐。,57,,
#,57,0,5,传书,倒是也不用这样……,58,,
#,58,4,1,[ ],收到博士发送的加急“旨意”，请允许我结束这一段愉快的对话。,59,,
#,59,0,5,传书,啊，好的，再见。,60,,
#,60,4,1,[ ],,61,Out,
#,61,0,4,传书,在妖怪这待久了还真是什么都遇得上，我都不觉得奇怪了。,62,,
#,62,0,8,传书,不过人类的机器人应该是没法看到妖怪的吧……,63,,
#,63,1,1,旦夕,说不定那个“博士”给她加上了这种功能？,64,,
#,64,0,4,传书,这种东西是能随便就加在机器人身上的吗……,65,,
#,65,2,1,索骥,晚上好，传书小姐。,66,In,
#,66,0,2,传书,啊，索骥先生，欢迎。,67,,
#,67,3,1,朔望,晚上好。,68,In,
#,68,1,2,旦夕,啊，朔望先生，“欢迎”。,69,,
#,69,3,4,朔望,……,70,,
#,70,0,5,传书,哈哈……二位要点些什么？,71,,
#,71,3,1,朔望,一杯冰拿铁，打包。,72,,
#,72,0,2,传书,冰拿铁，那索骥先生呢？,73,,
#,73,2,6,索骥,喔，鄙人再看看，先做朔望那一份吧。,74,,
#,74,0,2,传书,好的。,75,,
$,75,8,,,,76,,
#,76,0,2,传书,冰拿铁好了。,77,,
#,77,3,1,朔望,谢谢。,78,,
#,78,2,6,索骥,真难选啊……要不然就跟朔望一样吧，不过不用打包了。,79,,
#,79,0,2,传书,也是冰拿铁对吧，马上好。,80,,
$,80,7,,,,81,,
#,81,0,2,传书,好了，请慢用。,82,,
#,82,2,7,索骥,喔，谢谢。,83,,
#,83,0,2,传书,今天二位是一起来的？,84,,
#,84,3,1,朔望,嗯……算是吧。,85,,
#,85,3,4,朔望,今天路过索骥叔家门口的时候发现他的车又坏了。,86,,
#,86,3,4,朔望,于是想说干脆骑车把索骥叔送到公司，结果他突然说要去买杯咖啡。,87,,
#,87,3,4,朔望,虽然这里本来也是在下的目的地，但……,88,,
#,88,2,7,索骥,别担心，鄙人说过之后就自己走去公司，不会耽误你小子的时间。,89,,
#,89,3,4,朔望,<size=70%>不，这不是重点……</size>,90,,
#,90,0,2,传书,索骥先生您工作好像很忙的样子，从这里走去公司赶得上吗？,91,,
#,91,3,1,朔望,<size=70%>没错，就是这个！</size>,92,,
#,92,2,7,索骥,这个啊，今天稍微没有那么急，所以没事的。,93,,
#,93,2,7,索骥,工作嘛……忙归忙，不过鄙人也有自己的工作原则。,94,,
#,94,2,7,索骥,每年都会有几个季度会格外地忙，鄙人必须确保在这之前生活上没有什么其他会令我操心的事情。,95,,
#,95,2,8,索骥,如果不提前处理，让事情堆在一起，以鄙人现在的精力就没法同时顾上那么多。,96,,
#,96,2,8,索骥,最后哪边都没处理好才是最麻烦的事。,97,,
#,97,3,2,朔望,这说的简直就是在下啊……,98,,
#,98,2,7,索骥,哈哈，你还这么年轻，没问题的。,99,,
#,99,2,1,索骥,总之呢，鄙人今天给几个下属放了一会假，最近他们家里有些事情。,100,,
#,100,2,1,索骥,所以鄙人也只需要到公司整理一下他们之前记录的数据，没什么忙的。,101,,
&,101,0,1,传书,您说的下属是昨天电话里提到的@阿涟-103@吗？,,,
&,102,0,1,传书,原来是这样啊。,119,,
#,103,2,7,索骥,喔，的确是他，不过传书小姐居然还记得啊。,104,,
#,104,0,5,传书,倒也不是，只是隐隐约约感觉以前好像听其他顾客说起过这个名字……,105,,
#,105,2,7,索骥,那一定是<color=#FFCC00>小榛</color>了，鄙人刚想起来，就是他推荐的这家咖啡店。,106,,
#,106,0,8,传书,“小榛”啊……这好像没什么印象。,107,,
#,107,3,1,朔望,按你们人类的叫法，他应该看起来像一个北极熊。,108,,
#,108,3,1,朔望,如果见过的话应该没那么容易忘记。,109,,
#,109,0,6,传书,啊，是他！,110,,
#,110,1,3,旦夕,谁……？,111,,
#,111,1,6,旦夕,啊，是他。,112,,
#,112,0,5,传书,不过我记得当时他好像心情不太好的样子。,113,,
#,113,1,6,旦夕,何止啊，简直是快哭了吧。,114,,
#,114,3,0,朔望,快哭了？这还挺稀奇的……印象中他一直是乐呵呵的，跟个小孩一样。,115,,
#,115,2,8,索骥,……,116,,
#,116,2,8,索骥,这可能跟鄙人有点关系，不过鄙人也是为了他好。,117,,
#,117,3,1,朔望,你现在是他们俩名义上的监护人，你们的家事我也管不着啦。,118,,
#,118,3,1,朔望,不过又说回来，你说阿涟家里有事，难道是他父母那边有消息了？,121,,
#,119,3,1,朔望,可是索骥叔你现在就是他们的监护人，他们家不就是你家吗？,120,,
#,120,3,1,朔望,要不然就是<color=#FFCC00>阿涟</color>他父母的消息……,121,,
#,121,2,8,索骥,还不清楚，不过根据最近<color=#FFCC00>沙场</color>的传讯，恐怕……,122,,
#,122,2,1,索骥,啊，还是不要继续这个话题了。,123,,
#,123,2,8,索骥,传书小姐，不是想向你隐瞒什么，只是这件事情本身嘛……,124,,
#,124,2,8,索骥,就当是妖怪的家丑不可外扬吧，实在是羞于让更多人知道了。,125,,
#,125,0,5,传书,不方便说也没关系的，毕竟只是普通的聊天而已。,126,,
#,126,3,4,朔望,其实也不是什么秘密，传书你要是实在想知道，下次我也可以聊聊这个。,127,,
#,127,3,4,朔望,不过我也就知道个大概，可能还是老大比较清楚……,128,,
#,128,3,1,朔望,<size=70%>要不要干脆把老大也叫过来……叫得过来吗……？</size>,129,,
#,129,3,1,朔望,哎呀，我得走了，下次再说吧，传书。,130,,
#,130,0,1,传书,好，再见。,131,,
#,131,3,1,朔望,,132,Out,
#,132,2,8,索骥,传书小姐，再给鄙人一杯冰拿铁吧。,133,,
#,133,2,8,索骥,刚才的话，希望你不要介意。,134,,
#,134,0,2,传书,当然。,135,,
$,135,7,,,,136,,
#,136,2,7,索骥,谢谢。,137,,
#,137,1,6,旦夕,等等，传书，好像有什么东西飘过来了……,138,,
#,138,0,1,传书,“什么东西”是什么东西？,139,,
#,139,1,6,旦夕,呃……三个罐子？,140,,
#,140,6,1,语调正式的声音,请允许我纠正您，是瓶子，而不是罐子。,141,In,
#,141,6,3,欢快的声音,其实差不多啦，我猜布鲁伊是因为罐子不如瓶子好听才这么说的。,142,,
#,142,6,2,不耐烦的声音,快点买完了走吧，我不想在大街上晃了。,143,,
#,143,0,1,传书,你好，需要点什么？,144,,
#,144,6,1,正式且略显惊讶的声音,这位小姐居然丝毫不感到惊讶？,145,,
#,145,6,3,震惊大于欢快的声音,也太冷静了吧？！一般人类看到我们都会大叫的诶！,146,,
#,146,6,2,无奈且稍不耐烦的声音,……维亚，你太吵了。,147,,
#,147,0,5,传书,……,148,,
#,148,0,5,传书,毕竟都已经接受妖怪的存在了，还有什么不能接受的……,149,,
#,149,6,1,语调正式的声音,那真是太好了，节省了我们解释的时间。,150,,
#,150,2,6,索骥,传书，他们大概不是妖怪。,151,,
#,151,0,7,传书,嗯？那是什么？,152,,
#,152,6,3,欢快且兴奋的声音,布鲁伊，我们的客人展现了她的好奇，我们必须向她介绍——瓶中豆！,153,,
#,153,0,4,传书,额，谢谢你的热情，不过可能你们才是客人……,154,,
#,154,6,3,欢快且自我沉浸的小调,（赫密士语）我们来自伟大的<color=#FFCC00>赫密士</color>，那里有着三倍伟大的<color=#FFCC00>赫尔墨斯</color>。,155,,
#,155,6,3,欢快且自我沉浸的小调,（赫密士语）祂赋予无上的太一之源，由此炼金术得以不断发展。,156,,
#,156,6,3,欢快的小调中插入的说词,（赫密士语）噢！请一定注意，不要认为炼金术是化学！,157,,
#,157,6,3,欢快且自我沉浸的小调,（赫密士语）灵性的知识蕴藏于炼金的本质，魔法的仪式也只是炼金的前置。,158,,
#,158,6,3,欢快且自我沉浸的小调,（赫密士语）而我们，我们荣耀的家族，将成为至高的炼金术师！,159,,
#,159,6,3,欢快且婉转的小调,（赫密士语）首先向您介绍我们敬爱的长兄，他拥有天空般湛蓝的双眼与超越天空的智慧！他就是——,160,,
#,160,6,1,尽力掩盖无奈且正式的声音,……你好，我是艾尔尼斯。,161,,
#,161,6,3,欢快且激昂的小调,（赫密士语）然后是我们亲爱的二哥！他有着火红的头发与比火焰更热烈的勇猛之心！他名为——,162,,
#,162,6,2,无奈且稍不耐烦的沉默,……,163,,
#,163,6,3,请求大于欢快的声音,求你了，雷迪~,164,,
#,164,6,2,妥协且稍不耐烦的声音,唉……我是绯林斯坦。,165,,
#,165,6,3,重新欢快且调皮的小调,（赫密士语）最后是我，我——最喜欢穿黄色的衣服！正如我高超的炼金术能随意地将石块变为金黄的黄金！,166,,
#,166,6,3,欢快且调皮的小调,（赫密士语）虽然最后一句是假的，但我的炼金术的确高超！我是维亚！,167,,
#,167,1,6,旦夕,……,168,,
#,168,2,6,索骥,……,169,,
#,169,0,5,传书,……,170,,
#,170,6,1,艾尔尼斯,实在抱歉，我只是想来买一杯咖啡。维亚正处于富有表现欲的年纪，还请二位不要见怪。,171,,
#,171,0,5,传书,啊，没关系……,172,,
#,172,1,2,旦夕,反正你也听不懂，对吧？,173,,
#,173,0,9,传书,……你说得没错。,174,,
#,174,2,6,索骥,喔喔，原来如此，居然能见到真正的赫密士人类，而且还是炼金术师……,175,,
#,175,0,6,传书,人类？,176,,
#,176,6,3,维亚,太好啦，这位妖怪先生能听懂！,177,,
#,177,2,7,索骥,我只是对外地的一些文化还算感兴趣，于是自己稍微学了学……,178,,
#,178,2,6,索骥,也就是说……你们用炼金术把自己变成了瓶子。,179,,
#,179,2,8,索骥,现在的年轻人玩真大啊。,180,,
#,180,0,4,传书,不要把年轻人跟他们混为一谈啊！,181,,
#,181,2,7,索骥,虽然我很乐意再与三位友人再多交流一些，但我工作的时间快到了。,182,,
#,182,2,1,索骥,有些遗憾，希望我们还能再见吧。,183,,
#,183,0,2,传书,啊，索骥先生，再见。,184,,
#,184,6,3,维亚,下次再见啦，蝙蝠大叔！,305,,
#,185,6,1,艾尔尼斯,维亚，别用这样的称呼，这不太礼貌。,186,,
#,186,0,5,传书,……总之，艾尔尼斯先生，您想点些什么？,187,,
#,187,6,1,艾尔尼斯,一杯冰美式打包，谢谢了，传书小姐。,188,,
#,188,0,6,传书,诶？好、好的。,189,,
$,189,3,,,,190,,
#,190,0,8,传书,嗯……,191,,
&,191,0,1,传书,“@如其上，同其下-193@。”,,,
&,192,0,1,传书,“冰美式好了，不过……”,237,,
#,193,6,1,艾尔尼斯,什么？您——不对，是他……,194,,
#,194,6,1,艾尔尼斯,Brain。我们几乎都把他忘了。,195,,
#,195,6,3,维亚,那是谁呀？,196,,
#,196,6,2,绯林斯坦,哼，一只自大的狗。,197,,
#,197,0,4,传书,我只是代他向你们传达这一句话，我既不知道这句话的含义，也不知道他想表达什么。,198,,
#,198,0,1,传书,不过他确实有些讨人厌，这一点我同意。,199,,
#,199,6,1,艾尔尼斯,这……,200,,
#,200,6,1,艾尔尼斯,传书小姐，我很不想麻烦您，但——如果您认识Brain，呃，能不能对他说我们已经离开了？,201,,
#,201,0,3,传书,……我只希望你们之间的恩怨不要扯上我。,202,,
#,202,0,1,传书,我不小心欠了他一个人情，所以不得不帮他这个忙。,203,,
#,203,0,5,传书,至于之后的事嘛……,204,,
#,204,6,1,艾尔尼斯,啊，是我冒昧了。我们……我们过去的确对不起他，但……,205,,
#,205,6,1,艾尔尼斯,唉，也许命运就是如此，我会想办法跟他说清楚的。,206,,
#,206,6,3,维亚,嘿！Brain到底是谁？为什么只有我一点印象都没有，这不公平！,207,,
#,207,6,2,绯林斯坦,<size=70%>就是那个十几年前跟我们合作过的一只恶魔！我们在一场委托里丢下他跑了——</size>,208,,
#,208,6,1,艾尔尼斯,<size=70%>别说了，斯坦，维亚根本不知道这件事，他……</size>,209,,
#,209,6,3,维亚,噢，那次！那次我好像……好像被关起来了。,210,,
#,210,6,3,维亚,你们为了救我召唤了一只恶魔？还违反了<color=#FFCC00>合约</color>？,211,,
#,211,6,3,维亚,我当时还真的以为那是一只狗！我还问过布鲁伊为什么他头上长了角……,212,,
#,212,6,1,艾尔尼斯,抱歉，维亚，但我们必须优先确保你的安全……,213,,
#,213,6,3,维亚,可是，可是你们为什么要瞒着我？难道我们不应该向他道歉吗？,214,,
#,214,6,2,绯林斯坦,维亚，维亚。我们会去向他道歉的，好吗？,215,,
#,215,6,3,维亚,我真不敢相信……但我更生气的是你们居然不告诉我……,216,,
#,216,0,1,传书,……,217,,
#,217,0,1,传书,他迟早会知道的，不是吗？,218,,
#,218,6,2,绯林斯坦,什么？喂，你都知道些什么？！,219,,
#,219,6,1,艾尔尼斯,不，斯坦。传书小姐她……她说得没错。,220,,
#,220,0,5,传书,我什么都不知道啊？,221,,
#,221,6,1,艾尔尼斯,那么，能否至少告诉我，我们能在哪里找到Brain？,222,,
#,222,0,4,传书,这个……我跟他也没有很熟……,223,,
#,223,0,4,传书,呃不过，你们也许可以去傍晚的妖怪酒吧里看看？,224,,
#,224,6,1,艾尔尼斯,啊？可是这不是相当于一个人类在清晨就去酒吧喝酒……？,225,,
#,225,0,5,传书,哈哈，是啊……他的确是个怪人……,226,,
#,226,6,1,艾尔尼斯,尽管有些难以置信，但还是谢谢您提供了这条信息。,227,,
#,227,6,1,艾尔尼斯,……同时，也谢谢您的咖啡。,228,,
#,228,6,1,艾尔尼斯,那么，再会。,229,,
#,229,0,2,传书,再会，艾尔尼斯，绯林斯坦，还有小维亚。,230,,
#,230,6,2,绯林斯坦,……,231,,
#,231,6,3,维亚,啊，再见，传书姐姐……,232,,
#,232,6,4,瓶中豆,,233,Out,
#,233,0,1,传书,嗨……应付他们真不容易。,234,,
#,234,1,1,旦夕,应付？我看你挺乐在其中啊。,235,,
#,235,0,1,传书,管他呢，提早下班，回去了。,236,,
$,236,,,,,,,
#,237,0,8,传书,我该如何给您呢？需要我倒进……,238,,
#,238,6,1,艾尔尼斯,不不不，传书小姐，只需要放在柜台上就可以了，我能处理。,239,,
#,239,0,1,传书,了解了。,240,,
#,240,,,,艾尔尼斯朝柜台靠了一些，柜台上的咖啡杯慢慢悬浮了起来，正如那三个瓶子。,241,,
#,241,1,1,旦夕,哇，酷。,242,,
#,242,1,2,旦夕,<size=70%>传书，快帮我问问他们怎么喝咖啡的。</size>,243,,
#,243,0,4,传书,这……,244,,
#,244,0,5,传书,艾尔尼斯先生，能不能向我们展示一下您是如何喝咖啡的？,245,,
#,245,6,3,维亚,我很愿意展示！可惜我不太喜欢咖啡……所以还是让布鲁伊来吧。,246,,
#,246,6,1,艾尔尼斯,哈哈，如果二位期待着什么的话，可能会失望了。,247,,
#,247,6,2,绯林斯坦,喂……艾尔尼斯！,248,,
#,248,,,,悬空的咖啡杯被打开，倾斜，从杯口能清晰地看见深色的咖啡正在流动，却无法流出——,249,,
#,249,,,,或是流进了其他地方。,250,,
#,250,,,,艾尔尼斯将打开的咖啡杯倾斜一秒，“喝”了一口。,251,,
#,251,6,1,艾尔尼斯,如您所见，现在的我们——这个瓶子只是一个外形，一个不具有任何物理意义的“容器”。,252,,
#,252,6,3,维亚,瓶子是我选的！很好看吧！,253,,
#,253,6,1,艾尔尼斯,我们的日常活动，依靠的是一些其他的东西，一些……不易于观察的东西。,254,,
#,254,6,3,维亚,这也是我研究出来的！我称它为“不可见之手”！,255,,
#,255,6,2,绯林斯坦,好了，维亚……稍微安静点吧。,256,,
#,256,1,6,旦夕,<size=70%>呜啊，气氛怎么又突然变得奇怪了……</size>,257,,
#,257,0,4,传书,啊，抱歉，也许我不该突然要求您这么做……,258,,
#,258,6,1,艾尔尼斯,不不，没有的事，传书小姐。,259,,
#,259,6,1,艾尔尼斯,只是我们一般不向人类展示这些，基于一些……合理且必要的警惕。,260,,
#,260,6,1,艾尔尼斯,但您显然跟普通人不一样，所以我想我们可以相信您。,261,,
#,261,0,5,传书,哪里，我也只是碰巧能看见妖怪而已……,262,,
#,262,6,1,艾尔尼斯,<size=70%>碰巧……？</size>,263,,
#,263,6,1,艾尔尼斯,我已经很久没有喝过人类的咖啡了。,264,,
#,264,6,1,艾尔尼斯,您的咖啡让我想到了我的故乡，赫密士。,265,,
#,265,6,1,艾尔尼斯,您对赫密士感兴趣吗，传书小姐？,266,,
#,266,0,2,传书,啊，当然，尽管没有去过，但多多少少也有一些了解。,267,,
#,267,0,8,传书,不过也只限于人类社会，之前听说赫密士也有妖怪……虽然想想也挺合理的吧。,268,,
#,268,6,3,维亚,咦？怎么突然聊起老家了呀。,269,,
#,269,6,2,绯林斯坦,……,270,,
#,270,6,1,艾尔尼斯,赫密士除了我们炼金术之外，还有一种研究，跟炼金术算是兄弟学科。,271,,
#,271,6,1,艾尔尼斯,“<color=#FFCC00>神秘学</color>”。,272,,
#,272,0,1,传书,神秘学？,273,,
#,273,0,8,传书,……啊，好像以前又听谁提起过……？,274,,
#,274,6,1,艾尔尼斯,听说过也很正常，所谓神秘学家，就是一群与天使和恶魔——也就是赫密士的妖怪，尝试交流的人。,275,,
#,275,6,1,艾尔尼斯,而实际的形式有很多种，有些人尝试从大地中提取灵性的能量，而有些人则尝试与星空的运行对峙。,276,,
#,276,6,1,艾尔尼斯,不过嘛，最终的目的都大同小异。,277,,
#,277,6,1,艾尔尼斯,他们的研究成果逐渐传入了其他很多国家，但由于各国信仰的不同，往往最终发展为了更本地化的学说。,278,,
#,278,0,7,传书,咦？可是这难道不是因为各地妖怪的体制或是构成之类的不同而导致的吗？,279,,
#,279,0,7,传书,跟人类的信仰又有什么关系？,280,,
#,280,6,1,艾尔尼斯,看来您错过了一个不太重要的常识。,281,,
#,281,6,1,艾尔尼斯,这里所谓的妖怪，以及赫密士的天使与恶魔，他们有一个更统一的称呼。,282,,
#,282,6,1,艾尔尼斯,也就是“<color=#FFCC00>信仰生物</color>”。,283,,
#,283,0,6,传书,信仰生物？难道他们都是因为人的信仰才产生的吗？,284,,
#,284,6,1,艾尔尼斯,嗯……,285,,
#,285,6,1,艾尔尼斯,这个问题会有一些复杂，传书小姐，今天就先聊到这里吧。,286,,
#,286,0,1,传书,……,287,,
#,287,6,1,艾尔尼斯,咖啡很不错，谢谢您，再见。,288,,
#,288,6,3,维亚,诶？这就要走了吗？,289,,
#,289,0,1,传书,再见，三位先生们。,290,,
#,290,6,3,维亚,啊，再见啦，传书姐姐！,291,,
#,291,6,2,绯林斯坦,<size=70%>艾尔尼斯，你找到你想要的答案了吗？</size>,292,,
#,292,6,1,艾尔尼斯,<size=70%>……走吧。</size>,293,,
#,293,6,4,,(离场),294,Out,
#,294,1,6,旦夕,怎、怎么回事？,295,,
#,295,0,1,传书,他们有某种目的，像是在套我的话。,296,,
#,296,0,8,传书,不对，与其说是套话……不如说是想看我对他说的那些词有什么反应。,297,,
#,297,0,1,传书,表现得太明显，所以我估计他们真的只是想从我这里知道些什么。,298,,
#,298,0,4,传书,至少不会有什么危险，应该吧……,299,,
#,299,1,6,旦夕,要不要赶紧把朔望叫来？说起来他们归不归妖怪警察管啊？,300,,
#,300,0,3,传书,现在你想起人家朔望来了，平时他一来你就嘴欠……,301,,
#,301,0,1,传书,没事啦，就算他们真想干什么，三个瓶子而已，能拿我怎么样？,302,,
#,302,0,9,传书,只是为什么不把话说完就走了啊！能不能解释清楚到底什么是信仰生物？！,303,,
#,303,1,6,旦夕,呃……,304,,
$,304,,,,,,,
#,305,2,7,索骥,各位再见。,306,,
#,306,2,1,索骥,,185,Out,
